page|74
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||955,065,040.36|862,791,515.08
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||61,564,425.19|54,535,514.96
收到其他与经营活动有关的现金|七、78|57,643,392.90|12,882,111.92
经营活动现金流入小计||1,074,272,858.45|930,209,141.96
购买商品、接受劳务支付的现金||741,539,993.39|758,033,890.48
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||56,454,204.20|67,240,238.12
支付的各项税费||25,424,315.85|28,254,016.09
page|75
支付其他与经营活动有关的现金|七、78|39,607,482.89|65,322,813.01
经营活动现金流出小计||863,025,996.33|918,850,957.70
经营活动产生的现金流量净额||211,246,862.12|11,358,184.26
二、投资活动产生的现金流量：|||
收回投资收到的现金||4,653,980,000.00|5,291,430,000.00
取得投资收益收到的现金||15,868,362.17|10,063,052.11
处置固定资产、无形资产和其他长期资产收回的现金净额||46,499,549.31|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|6,248,857.07|4,529,493.63
投资活动现金流入小计||4,722,596,768.55|5,306,022,545.74
购建固定资产、无形资产和其他长期资产支付的现金||52,858,060.83|47,674,271.21
投资支付的现金||5,004,491,773.32|5,291,430,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||5,057,349,834.15|5,339,104,271.21
投资活动产生的现金流量净额||-334,753,065.60|-33,081,725.47
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||128,964,150.94|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|七、78||1,050,000.00
筹资活动现金流入小计||128,964,150.94|1,050,000.00
偿还债务支付的现金|||50,090,000.00
分配股利、利润或偿付利息支付的现金|||35,873,080.0
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|85,423,858.45|
筹资活动现金流出小计||85,423,858.45|85,963,080.00
筹资活动产生的现金流量净额||43,540,292.49|-84,913,080.00
四、汇率变动对现金及现金等价物的影响||-6,216,247.73|2,000,317.01
五、现金及现金等价物净增加额||-86,182,158.72|-104,636,304.20
加：期初现金及现金等价物余额||274,050,303.01|378,686,607.21
page|76
六、期末现金及现金等价物余额||187,868,144.29|274,050,303.01
