page|70
项目|附注六|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||648,042,227.04|604,046,980.06
收到的税费返还||-|-
收到其他与经营活动有关的现金|注释 47|36,725,287.71|55,318,921.55
经营活动现金流入小计||684,767,514.75|659,365,901.61
购买商品、接受劳务支付的现金||499,801,582.82|620,797,170.47
支付给职工及为职工支付的现金||103,852,548.44|117,234,900.70
支付的各项税费||53,000,191.66|44,311,442.49
支付其他与经营活动有关的现金|注释 47|73,996,746.55|106,750,184.30
经营活动现金流出小计||730,651,069.47|889,093,697.96
经营活动产生的现金流量净额||-45,883,554.72|-229,727,796.35
二、投资活动产生的现金流量：||-|-
收回投资收到的现金||170,000,000.00|-
取得投资收益收到的现金||865,599.99|-
处置固定资产、无形资产和其他长期资产收回的现金净额||-|211,293.15
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金||-|-
投资活动现金流入小计||170,865,599.99|211,293.15
购建固定资产、无形资产和其他长期资产支付的现金||5,877,552.18|38,664,364.19
投资支付的现金||550,000,000.00|-
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||555,877,552.18|38,664,364.19
投资活动产生的现金流量净额||-385,011,952.19|-38,453,071.04
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,055,521,617.25|102,807,783.00
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||109,546,467.13|185,848,720.66
page|71
收到其他与筹资活动有关的现金|注释 47|54,242,147.10|12,441,959.36
筹资活动现金流入小计||1,219,310,231.48|301,098,463.02
偿还债务支付的现金||243,546,467.13|174,428,720.66
分配股利、利润或偿付利息支付的现金||6,501,687.01|7,588,764.26
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|注释 47|100,689,346.78|50,760,146.41
筹资活动现金流出小计||350,737,500.92|232,777,631.33
筹资活动产生的现金流量净额||868,572,730.56|68,320,831.69
四、汇率变动对现金及现金等价物的影响||-|-
五、现金及现金等价物净增加额||437,677,223.65|-199,860,035.70
加：期初现金及现金等价物余额||111,729,779.51|311,589,815.21
六、期末现金及现金等价物余额||549,407,003.16|111,729,779.51
