page|62
项目|附注六|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|注释 1|587,038,352.82|136,141,579.50
交易性金融资产|注释 2|381,811,361.64|-
衍生金融资产||-|-
应收票据|注释 3|839,412.08|2,605,000.00
应收账款|注释 4|251,097,929.02|693,836,539.71
应收款项融资|注释 5|400,000.00|
预付款项|注释 6|13,968,758.40|9,296,873.64
其他应收款|注释 7|12,667,201.77|13,612,598.15
其中：应收利息||-|-
应收股利||-|-
存货|注释 8|10,320,755.85|568,547,787.79
合同资产|注释 9|1,188,114,401.41|-
持有待售资产||-|-
一年内到期的非流动资产||-|-
其他流动资产|注释 10|157,118,626.18|139,959,488.27
流动资产合计||2,603,376,799.17|1,563,999,867.06
非流动资产：|||
债权投资||-|-
其他债权投资||-|-
长期应收款||-|-
长期股权投资||-|-
其他权益工具投资||-|-
其他非流动金融资产||-|-
投资性房地产|注释 11|-|3,225,143.36
固定资产|注释 12|95,068,287.18|95,245,328.68
在建工程|注释 13|6,506,193.54|-
生产性生物资产||-|-
油气资产||-|-
无形资产|注释 14|1,152,386.98|1,394,869.54
开发支出||-|-
商誉||-|-
长期待摊费用||-|-
递延所得税资产|注释 15|23,196,956.77|14,359,203.88
其他非流动资产|注释 16|34,400,556.67|3,800,000.00
非流动资产合计||160,324,381.14|118,024,545.46
资产总计||2,763,701,180.31|1,682,024,412.52
流动负债：|||
短期借款|注释 17|34,032,465.28|159,266,734.19
交易性金融负债||-|-
衍生金融负债||-|-
应付票据|注释 18|162,601,194.62|90,954,157.00
page|63
应付账款|注释 19|329,778,193.81|368,074,171.36
预收款项||-|5,774,500.00
合同负债|注释 20|2,495,417.83|-
应付职工薪酬|注释 21|2,585,791.65|19,378,634.98
应交税费|注释 22|10,539,384.17|16,924,707.46
其他应付款|注释 23|5,759,838.29|61,040.02
其中：应付利息||-|-
应付股利||-|-
持有待售负债||-|-
一年内到期的非流动负债|注释 24|15,883,112.45|-
其他流动负债|注释 25|130,957,568.97|113,116,046.23
流动负债合计||694,632,967.07|773,549,991.24
非流动负债：|||
长期借款||-|-
应付债券||-|-
其中：优先股||-|-
永续债||-|-
长期应付款|注释 26|5,095,082.93|-
长期应付职工薪酬||-|-
预计负债||-|-
递延收益|注释 27|-|200,000.00
递延所得税负债||-|-
其他非流动负债||-|-
非流动负债合计||5,095,082.93|200,000.00
负债合计||699,728,050.00|773,749,991.24
所有者权益（或股东权益）：|||
实收资本（或股本）|注释 28|70,894,000.00|53,167,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|注释 29|1,226,311,145.75|219,556,051.13
减：库存股|||
其他综合收益|||
专项储备|注释 30|18,568,344.02|17,437,847.48
盈余公积|注释 31|44,400,109.49|44,400,109.49
一般风险准备|||
未分配利润|注释 32|703,799,531.05|573,713,413.18
归属于母公司所有者权益（或股东权益）合计||2,063,973,130.31|908,274,421.28
少数股东权益||-|-
所有者权益（或股东权益）合计||2,063,973,130.31|908,274,421.28
负债和所有者权益（或股东权益）总计||2,763,701,180.31|1,682,024,412.52
