page|66
项目|附注六|2020 年度|2019 年度
一、营业总收入|注释 33|896,490,820.60|1,043,689,189.12
其中：营业收入||896,490,820.60|1,043,689,189.12
二、营业总成本||692,208,040.00|782,858,699.89
其中：营业成本|注释 33|551,171,945.82|614,050,885.43
税金及附加|注释 34|3,358,152.45|2,406,193.32
销售费用|注释 35|48,488,488.37|48,878,942.34
管理费用|注释 36|47,300,997.67|63,958,098.43
研发费用|注释 37|35,282,323.11|41,174,657.70
财务费用|注释 38|6,606,132.58|12,389,922.67
其中：利息费用||5,251,473.10|7,622,334.10
利息收入||3,384,599.23|1,046,506.65
加：其他收益|注释 39|4,013,013.05|4,182,896.00
投资收益（损失以“－”号填列）|注释 40|2,525,435.50|-2,465,048.61
其中：对联营企业和合营企业的投资收益||-|-
以摊余成本计量的金融资产终止确认收益||-|-2,465,048.61
汇兑收益（损失以“－”号填列）||-|-
净敞口套期收益（损失以“-”号填列）||-|-
公允价值变动收益（损失以“－”号填列）||-|-
信用减值损失（损失以“-”号填列）|注释 41|-18,969,221.67|-22,378,253.21
资产减值损失（损失以“-”号填列）|注释 42|-37,003,385.92|
资产处置收益（损失以“－”号填列）|注释 43|-18,814.93|7,370.95
三、营业利润（亏损以“－”号填列）||154,829,806.63|240,177,454.36
加：营业外收入|注释 44|1,750,000.00|120,505.54
减：营业外支出|注释 45|54.16|234.52
四、利润总额（亏损总额以“－”号填列）||156,579,752.47|240,297,725.38
减：所得税费用|注释 46|23,765,517.14|35,007,579.23
五、净利润（净亏损以“－”号填列）||132,814,235.33|205,290,146.15
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||132,814,235.33|205,290,146.15
2.终止经营净利润（净亏损以“－”号填列）||-|-
（二）按所有权归属分类|||
page|67
1.归属于母公司股东的净利润（净亏损以“-”号填列）||132,814,235.33|205,290,146.15
2.少数股东损益（净亏损以“-”号填列）||-|-
六、其他综合收益的税后净额||-|-
（一）归属母公司所有者的其他综合收益的税后净额||-|-
1．不能重分类进损益的其他综合收益||-|-
（1）重新计量设定受益计划变动额||-|-
（2）权益法下不能转损益的其他综合收益||-|-
（3）其他权益工具投资公允价值变动||-|-
（4）企业自身信用风险公允价值变动||-|-
2．将重分类进损益的其他综合收益||-|-
（1）权益法下可转损益的其他综合收益||-|-
（2）其他债权投资公允价值变动||-|-
（3）金融资产重分类计入其他综合收益的金额||-|-
（4）其他债权投资信用减值准备||-|-
（5）现金流量套期储备||-|-
（6）外币财务报表折算差额||-|-
（7）其他||-|-
（二）归属于少数股东的其他综合收益的税后净额||-|-
七、综合收益总额||132,814,235.33|205,290,146.15
（一）归属于母公司所有者的综合收益总额||132,814,235.33|205,290,146.15
（二）归属于少数股东的综合收益总额||-|-
八、每股收益：|||
（一）基本每股收益(元/股)||2.25|3.88
（二）稀释每股收益(元/股)||2.25|3.88
