page|99
项目|附注|2021 年度|2020 年度
一、营业总收入||168,185,484,386.91|144,301,516,853.91
其中：营业收入|七、61|168,185,484,386.91|144,301,516,853.91
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||168,525,022,577.56|129,234,700,384.67
其中：营业成本|七、61|155,991,816,106.09|115,461,407,170.38
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
page|100
项目|附注|2021 年度|2020 年度
税金及附加|七、62|2,312,839,101.33|2,130,169,061.62
销售费用|七、63|43,701,843.78|190,089,212.87
管理费用|七、64|1,744,272,694.59|1,684,908,225.58
研发费用|七、65|496,523,493.29|458,755,634.37
财务费用|七、66|7,935,869,338.48|9,309,371,079.85
其中：利息费用|七、66|8,022,697,222.02|9,371,327,494.27
利息收入|七、66|170,779,556.35|137,383,389.19
加：其他收益|七、67|439,845,214.40|403,251,129.65
投资收益（损失以“－”号填列）|七、68|3,256,403,430.59|4,231,967,237.05
其中：对联营企业和合营企业的投资收益|七、68|1,290,972,147.43|1,429,958,242.29
以摊余成本计量的金融资产终止确认收益|七、68|-150,809,007.26|-227,191,116.52
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、71|-3,291,374,680.38|-4,441,207,809.02
资产减值损失（损失以“-”号填列）|七、72|-1,841,904,243.51|-1,823,157,362.76
资产处置收益（损失以“－”号填列）|七、73|193,492,687.31|197,779,693.46
三、营业利润（亏损以“－”号填列）||-1,583,075,782.24|13,635,449,357.62
加：营业外收入|七、74|398,601,907.86|190,892,976.72
减：营业外支出|七、75|338,180,190.86|271,671,440.37
四、利润总额（亏损总额以“－”号填列）||-1,522,654,065.24|13,554,670,893.97
减：所得税费用|七、76|1,895,193,430.56|3,399,788,438.04
五、净利润（净亏损以“－”号填列）||-3,417,847,495.80|10,154,882,455.93
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-3,417,847,495.80|10,154,882,455.93
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-1,845,353,429.31|4,353,805,326.03
2.少数股东损益（净亏损以“-”号填列）||-1,572,494,066.49|5,801,077,129.90
六、其他综合收益的税后净额||425,735,677.45|472,234,871.85
（一）归属母公司所有者的其他综合收益的税后净额||433,764,569.20|483,568,463.91
1．不能重分类进损益的其他综合收益||434,008,091.26|494,197,487.61
page|101
项目|附注|2021 年度|2020 年度
（1）重新计量设定受益计划变动额||-5,211,023.43|-915,623.14
（2）权益法下不能转损益的其他综合收益||94,938,364.41|393,444,097.31
（3）其他权益工具投资公允价值变动||344,280,750.28|101,669,013.44
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-243,522.06|-10,629,023.70
（1）权益法下可转损益的其他综合收益||-243,522.06|-10,629,023.70
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-8,028,891.75|-11,333,592.06
七、综合收益总额||-2,992,111,818.35|10,627,117,327.78
（一）归属于母公司所有者的综合收益总额||-1,411,588,860.11|4,837,373,789.94
（二）归属于少数股东的综合收益总额||-1,580,522,958.24|5,789,743,537.84
八、每股收益：|||
（一）基本每股收益(元/股)||-0.109|0.218
（二）稀释每股收益(元/股)||-0.109|0.218
