page|70
项目|附注 七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||57,511,308,847.23|33,061,390,119.81
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||137,363,773.42|4,912,231.38
收到其他与经营活动有关的现金|78|399,215,585.17|243,063,925.83
经营活动现金流入小计||58,047,888,205.82|33,309,366,277.02
购买商品、接受劳务支付的现金||49,539,483,188.74|28,590,104,281.90
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,325,414,345.15|1,929,344,719.98
支付的各项税费||1,413,092,454.78|669,134,655.97
支付其他与经营活动有关的现金|78|527,335,955.25|406,949,869.36
经营活动现金流出小计||53,805,325,943.92|31,595,533,527.21
经营活动产生的现金流量净额||4,242,562,261.90|1,713,832,749.81
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
page|71
取得投资收益收到的现金||11,315,467.08|2,129,600.66
处置固定资产、无形资产和其他长期资产收回的现金净额||1,926,731.19|60,944.66
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78|41,124,927.73|56,624,281.26
投资活动现金流入小计||54,367,126.00|58,814,826.58
购建固定资产、无形资产和其他长期资产支付的现金||3,288,256,184.01|1,713,368,725.24
投资支付的现金||106,618,713.29|12,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78|15,546,742.10|10,096,213.80
投资活动现金流出小计||3,410,421,639.40|1,735,464,939.04
投资活动产生的现金流量净额||-3,356,054,513.40|-1,676,650,112.46
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||520,000.00|80,000,000.00
其中：子公司吸收少数股东投资收到的现金||520,000.00|80,000,000.00
取得借款收到的现金||5,448,370,000.00|6,245,000,000.00
收到其他与筹资活动有关的现金|78|1,750,564,949.00|1,503,096,249.00
筹资活动现金流入小计||7,199,454,949.00|7,828,096,249.00
偿还债务支付的现金||5,394,110,000.00|5,883,920,000.00
分配股利、利润或偿付利息支付的现金||785,323,641.04|914,023,557.70
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|1,970,364,517.48|2,120,297,673.44
筹资活动现金流出小计||8,149,798,158.52|8,918,241,231.14
筹资活动产生的现金流量净额||-950,343,209.52|-1,090,144,982.14
四、汇率变动对现金及现金等价物的影响||-3,097,192.29|-3,628,057.67
五、现金及现金等价物净增加额||-66,932,653.31|-1,056,590,402.46
加：期初现金及现金等价物余额||1,421,507,511.06|2,478,097,913.52
六、期末现金及现金等价物余额||1,354,574,857.75|1,421,507,511.06
