page|64
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,666,732,938.72|9,703,761,793.46
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||802,359.54|268,333.83
收到其他与经营活动有关的现金||421,289,245.56|428,955,920.20
经营活动现金流入小计||6,088,824,543.82|10,132,986,047.49
购买商品、接受劳务支付的现金||3,016,812,916.26|3,310,429,381.16
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,099,536,948.34|2,617,329,785.57
支付的各项税费||391,709,664.45|711,366,979.08
支付其他与经营活动有关的现金||615,390,943.04|431,435,284.63
经营活动现金流出小计||6,123,450,472.09|7,070,561,430.44
经营活动产生的现金流量净额||-34,625,928.27|3,062,424,617.05
二、投资活动产生的现金流量：|||
收回投资收到的现金||323,433,367.96|
取得投资收益收到的现金||27,681,742.59|12,085,337.66
处置固定资产、无形资产和其他长期资产收回的现金净额||9,807,040.01|727,136.37
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||360,922,150.56|12,812,474.03
购建固定资产、无形资产和其他长期资产支付的现金||1,361,184,036.93|1,111,558,539.93
投资支付的现金|||8,700,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||153,738,995.29|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,514,923,032.22|1,120,258,539.93
投资活动产生的现金流量净额||-1,154,000,881.66|-1,107,446,065.90
page|65
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,199,999,994.44|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,019,875,000.00|1,100,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||4,219,874,994.44|1,100,000,000.00
偿还债务支付的现金||1,600,000,000.00|3,670,000,000.00
分配股利、利润或偿付利息支付的现金||333,125,020.38|429,571,058.60
其中：子公司支付给少数股东的股利、利润||2,450,923.26|
支付其他与筹资活动有关的现金||13,287,397.77|
筹资活动现金流出小计||1,946,412,418.15|4,099,571,058.60
筹资活动产生的现金流量净额||2,273,462,576.29|-2,999,571,058.60
四、汇率变动对现金及现金等价物的影响||-59,702.71|1,236,299.53
五、现金及现金等价物净增加额||1,084,776,063.65|-1,043,356,207.92
加：期初现金及现金等价物余额||1,228,464,103.10|2,271,820,311.02
六、期末现金及现金等价物余额||2,313,240,166.75|1,228,464,103.10
