page|90
项目|附注五|2019 年度|2018 年度
一、营业总收入||33,463,292,568.99|28,974,746,840.59
其中：营业收入|（四十一）|33,463,292,568.99|28,974,746,840.59
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||32,249,633,977.65|27,960,884,201.54
其中：营业成本|（四十一）|29,390,739,692.06|25,399,354,310.74
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十二）|172,611,312.11|189,144,864.84
销售费用|（四十三）|284,511,074.15|246,584,612.01
管理费用|（四十四）|1,400,334,629.26|1,252,702,048.47
研发费用|（四十五）|804,908,380.14|640,478,803.97
财务费用|（四十六）|196,528,889.93|232,619,561.51
其中：利息费用|（四十六）|207,504,898.50|251,922,466.07
利息收入|（四十六）|17,252,547.03|10,046,511.35
加：其他收益|（四十九）|247,521,763.79|179,639,037.16
投资收益（损失以“－”号填列）|（五十）|292,214,997.77|206,429,484.27
其中：对联营企业和合营企业的投资收益|（五十）|274,451,534.74|178,293,279.02
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|91
公允价值变动收益（损失以“－”号填列）|（五十一）|3,532,493.15|
信用减值损失（损失以“-”号填列）|（四十七）|2,668,711.49|
资产减值损失（损失以“-”号填列）|（四十八）|-54,241,207.15|7,682,542.38
资产处置收益（损失以“－”号填列）|（五十二）|14,114,385.08|4,272,090.96
三、营业利润（亏损以“－”号填列）||1,719,469,735.47|1,411,885,793.82
加：营业外收入|（五十三）|31,987,106.76|37,213,001.83
减：营业外支出|（五十四）|27,871,486.05|15,454,459.55
四、利润总额（亏损总额以“－”号填列）||1,723,585,356.18|1,433,644,336.10
减：所得税费用|（五十五）|420,820,604.11|310,245,462.30
五、净利润（净亏损以“－”号填列）||1,302,764,752.07|1,123,398,873.80
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,302,764,752.07|1,123,398,873.80
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,233,051,275.73|1,065,903,495.47
2.少数股东损益（净亏损以“-”号填列）||69,713,476.34|57,495,378.33
六、其他综合收益的税后净额||30,886,240.16|54,826,926.92
（一）归属母公司所有者的其他综合收益的税后净额||30,915,460.30|54,820,005.09
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||30,915,460.30|54,820,005.09
（1）权益法下可转损益的其他综合收益||975,162.82|3,079,770.40
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
page|92
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||29,940,297.48|51,740,234.69
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-29,220.14|6,921.83
七、综合收益总额||1,333,650,992.23|1,178,225,800.72
（一）归属于母公司所有者的综合收益总额||1,263,966,736.03|1,120,723,500.56
（二）归属于少数股东的综合收益总额||69,684,256.20|57,502,300.16
八、每股收益：|||
（一）基本每股收益(元/股)||0.1336|0.1284
（二）稀释每股收益(元/股)||0.1336|0.1284
