page|94
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||34,868,360,933.75|30,906,685,533.71
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||24,283,812.98|33,634,464.86
收到其他与经营活动有关的现金|（五十六）|565,859,504.60|580,660,319.32
经营活动现金流入小计||35,458,504,251.33|31,520,980,317.89
购买商品、接受劳务支付的现金||24,632,120,939.94|22,508,752,772.60
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||5,159,156,651.52|4,914,248,995.66
支付的各项税费||1,257,015,185.74|1,377,080,883.88
支付其他与经营活动有关的现金|（五十六）|1,478,942,873.29|1,115,210,861.71
page|95
经营活动现金流出小计||32,527,235,650.49|29,915,293,513.85
经营活动产生的现金流量净额||2,931,268,600.84|1,605,686,804.04
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||164,221,822.89|89,022,589.49
处置固定资产、无形资产和其他长期资产收回的现金净额||24,507,741.70|47,162,116.90
处置子公司及其他营业单位收到的现金净额|||87,372,519.29
收到其他与投资活动有关的现金|（五十六）|200,000,000.00|
投资活动现金流入小计||388,729,564.59|223,557,225.68
购建固定资产、无形资产和其他长期资产支付的现金||1,073,654,248.57|679,853,177.15
投资支付的现金||167,249,259.65|395,541,741.17
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十六）|724,000,000.00|6,579,380.99
投资活动现金流出小计||1,964,903,508.22|1,081,974,299.31
投资活动产生的现金流量净额||-1,576,173,943.63|-858,417,073.63
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,816,103,418.60|600,000.00
其中：子公司吸收少数股东投资收到的现金||60,553,416.00|600,000.00
取得借款收到的现金||6,706,579,769.12|7,597,746,426.96
收到其他与筹资活动有关的现金|（五十六）||72,200,000.00
筹资活动现金流入小计||10,522,683,187.72|7,670,546,426.96
偿还债务支付的现金||10,326,378,400.00|8,151,319,398.63
分配股利、利润或偿付利息支付的现金||554,283,865.34|306,580,673.43
其中：子公司支付给少数股东的股利、利润||33,728,090.83|34,848,876.19
支付其他与筹资活动有关的现金|（五十六）|409,474,045.95|24,383,175.15
筹资活动现金流出小计||11,290,136,311.29|8,482,283,247.21
筹资活动产生的现金流量净额||-767,453,123.57|-811,736,820.25
四、汇率变动对现金及现金等价物的影响||3,045,102.67|10,291,596.75
五、现金及现金等价物净增加额||590,686,636.31|-54,175,493.09
加：期初现金及现金等价物余额||1,005,607,955.96|1,059,783,449.05
六、期末现金及现金等价物余额||1,596,294,592.27|1,005,607,955.96
