page|75
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,190,099,517.62|1,084,850,692.72
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现|||
page|76
金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||318,493.63|
收到其他与经营活动有关的现金|十、七、78|368,916,140.07|523,334,779.48
经营活动现金流入小计||1,559,334,151.32|1,608,185,472.20
购买商品、接受劳务支付的现金||1,078,299,751.44|616,449,401.94
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||125,077,043.06|120,768,692.44
支付的各项税费||78,041,986.03|50,619,649.92
支付其他与经营活动有关的现金|十、七、78|381,004,062.83|548,768,449.58
经营活动现金流出小计||1,662,422,843.36|1,336,606,193.88
经营活动产生的现金流量净额||-103,088,692.04|271,579,278.32
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||2,245,928.60|3,842,560.73
处置子公司及其他营业单位收到的现金净额||20,993,353.36|100,125,410.49
收到其他与投资活动有关的现金|十、七、78||16,860,000.00
投资活动现金流入小计||23,239,281.96|120,827,971.22
购建固定资产、无形资产和其他长期资产支付的现金||18,697,419.57|85,651,335.05
投资支付的现金||51,600,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||70,297,419.57|85,651,335.05
投资活动产生的现金流量净额||-47,058,137.61|35,176,636.17
page|77
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||378,838,880.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||207,782,975.01|400,856,675.00
收到其他与筹资活动有关的现金|十、七、78||190,000,000.00
筹资活动现金流入小计||586,621,855.01|590,856,675.00
偿还债务支付的现金||356,244,170.86|697,640,000.00
分配股利、利润或偿付利息支付的现金||22,016,851.79|30,486,652.83
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|十、七、78|131,759,569.40|48,456,185.08
筹资活动现金流出小计||510,020,592.05|776,582,837.91
筹资活动产生的现金流量净额||76,601,262.96|-185,726,162.91
四、汇率变动对现金及现金等价物的影响||113,222.43|-772,785.90
五、现金及现金等价物净增加额||-73,432,344.26|120,256,965.68
加：期初现金及现金等价物余额||193,162,319.89|72,905,354.21
六、期末现金及现金等价物余额||119,729,975.63|193,162,319.89
