page|121
项                  目|附注|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||92,656,549,468.86|66,202,149,978.97
收到的税费返还||24,285,097.34|4,946,451.10
收到其他与经营活动有关的现金|六、57|30,097,150,764.89|15,773,489,125.43
经营活动现金流入小计||122,777,985,331.09|81,980,585,555.50
购买商品、接受劳务支付的现金||76,877,157,498.95|54,459,204,976.71
支付给职工以及为职工支付的现金||3,648,957,798.44|2,718,752,884.09
支付的各项税费||19,653,861,965.56|12,027,973,137.98
支付其他与经营活动有关的现金|六、57|27,785,778,262.41|22,819,229,136.49
经营活动现金流出小计||127,965,755,525.36|92,025,160,135.27
经营活动产生的现金流量净额||-5,187,770,194.27|-10,044,574,579.77
二、投资活动产生的现金流量：|||
收回投资收到的现金||4,943,303,912.46|5,462,807,264.18
取得投资收益收到的现金||976,080,525.31|682,081,007.33
处置固定资产、无形资产和其他长期资产收回的现金净额||6,780,763.86|38,389,058.51
处置子公司及其他营业单位收到的现金净额||5,914,122,589.54|623,187,925.19
收到其他与投资活动有关的现金|六、57|5,036,100,786.06|1,002,318,820.00
投资活动现金流入小计||16,876,388,577.23|7,808,784,075.21
购建固定资产、无形资产和其他长期资产支付的现金||7,437,761,767.93|3,188,934,034.34
投资支付的现金||5,521,457,497.04|8,477,517,518.20
取得子公司及其他营业单位支付的现金净额||3,105,297.51|3,920,290,150.00
支付其他与投资活动有关的现金|六、57|8,738,624,784.96|9,210,541,569.73
page|122
投资活动现金流出小计||21,700,949,347.44|24,797,283,272.27
投资活动产生的现金流量净额||-4,824,560,770.21|-16,988,499,197.06
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||5,866,770,705.46|4,407,475,400.00
其中：子公司吸收少数股东投资收到的现金||5,866,770,705.46|4,401,525,400.00
取得借款所收到的现金||87,636,048,928.16|101,677,336,172.69
收到其他与筹资活动有关的现金|六、57|8,320,046,109.93|3,052,243,226.80
筹资活动现金流入小计||101,822,865,743.55|109,137,054,799.49
偿还债务所支付的现金||60,117,124,972.23|73,576,170,235.42
分配股利、利润或偿付利息所支付的现金||8,407,633,936.69|6,478,047,609.37
其中：子公司支付给少数股东的股利、利润||335,965,314.65|386,540,102.07
支付其他与筹资活动有关的现金|六、57|12,014,900,383.35|5,535,740,075.62
筹资活动现金流出小计||80,539,659,292.27|85,589,957,920.41
筹资活动产生的现金流量净额||21,283,206,451.28|23,547,096,879.08
四、汇率变动对现金及现金等价物的影响||19,281,471.03|73,439,366.72
五、现金及现金等价物净增加额|六、57|11,290,156,957.83|-3,412,537,531.03
加：期初现金及现金等价物余额|六、57|24,195,552,200.10|27,608,089,731.13
六、期末现金及现金等价物余额|六、57|35,485,709,157.93|24,195,552,200.10
