page|71
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,190,111,922.52|4,636,081,965.52
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,503,197.15|2,486,997.36
收到其他与经营活动有关的现金|78、|113,970,989.50|67,573,392.87
经营活动现金流入小计||4,306,586,109.17|4,706,142,355.75
购买商品、接受劳务支付的现金||2,706,026,978.52|2,978,721,439.04
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||348,624,527.87|298,902,664.39
支付的各项税费||423,893,921.41|544,612,945.78
支付其他与经营活动有关的现金|78、|360,717,859.57|329,926,311.75
经营活动现金流出小计||3,839,263,287.37|4,152,163,360.96
经营活动产生的现金流量净额||467,322,821.80|553,978,994.79
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,331,500,000.00|4,786,406,000.00
取得投资收益收到的现金||25,068,447.75|43,587,867.13
处置固定资产、无形资产和其他长期资产收回的现金净额||62,230.42|473,363.93
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||3,356,630,678.17|4,830,467,231.06
购建固定资产、无形资产和其他长期资产支付的现金||272,352,299.05|329,243,994.55
投资支付的现金||3,645,000,000.00|4,052,906,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||3,917,352,299.05|4,382,149,994.55
投资活动产生的现金流量净额||-560,721,620.88|448,317,236.51
page|72
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||800,000.00|3,000,000.00
其中：子公司吸收少数股东投资收到的现金||800,000.00|3,000,000.00
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||800,000.00|3,000,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||653,400,000.00|653,400,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||653,400,000.00|653,400,000.00
筹资活动产生的现金流量净额||-652,600,000.00|-650,400,000.00
四、汇率变动对现金及现金等价物的影响||10,418.83|3,165,274.41
五、现金及现金等价物净增加额||-745,988,380.25|355,061,505.71
加：期初现金及现金等价物余额||973,385,320.54|618,323,814.83
六、期末现金及现金等价物余额||227,396,940.29|973,385,320.54
