page|67
项目|附注七|2019 年度|2018 年度
一、营业总收入||3,759,367,800.79|3,976,555,487.40
其中：营业收入|61、|3,759,367,800.79|3,976,555,487.40
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,926,200,367.73|2,943,082,175.72
其中：营业成本|61、|2,307,845,844.24|2,422,095,984.51
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62、|26,017,892.57|32,174,765.71
销售费用|63、|389,536,250.27|346,657,857.81
管理费用|64、|120,987,177.87|104,629,040.76
研发费用|65、|84,889,972.83|52,886,643.62
财务费用|66、|-3,076,770.05|-15,362,116.69
其中：利息费用|||
利息收入||3,224,124.45|12,501,462.41
加：其他收益|67、|5,928,472.53|7,586,872.77
投资收益（损失以“－”号填列）|68、|25,019,179.07|43,142,787.29
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70、|1,048,731.82|
信用减值损失（损失以“-”号填列）|71、|-1,858,472.67|
资产减值损失（损失以“-”号填列）|72、|-3,135,375.19|-81,283.78
资产处置收益（损失以“－”号填列）|73、|32,085.35|197,550.14
三、营业利润（亏损以“－”号填列）||860,202,053.97|1,084,319,238.10
加：营业外收入|74、|50,895,359.68|39,883,574.77
减：营业外支出|75、|319,728.30|385,461.11
四、利润总额（亏损总额以“－”号填列）||910,777,685.35|1,123,817,351.76
减：所得税费用|76、|227,258,041.22|280,161,797.96
五、净利润（净亏损以“－”号填列）||683,519,644.13|843,655,553.80
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||683,519,644.13|843,655,553.80
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||685,823,718.67|844,896,937.70
2.少数股东损益（净亏损以“-”号填列）||-2,304,074.54|-1,241,383.90
六、其他综合收益的税后净额|||
page|68
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||683,519,644.13|843,655,553.80
（一）归属于母公司所有者的综合收益总额||685,823,718.67|844,896,937.70
（二）归属于少数股东的综合收益总额||-2,304,074.54|-1,241,383.90
八、每股收益：|||
（一）基本每股收益(元/股)||1.57|1.94
（二）稀释每股收益(元/股)||1.57|1.94
