page|49
项目|附 注|2021 年度|2020 年度
一、营业总收入||1,796,739,862.83|1,562,396,998.04
其中：营业收入||1,796,739,862.83|1,562,396,998.04
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,810,568,835.64|1,625,427,266.00
其中：营业成本||1,384,501,918.93|1,221,564,572.39
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||15,830,976.84|10,948,071.18
销售费用||174,916,303.67|165,915,782.20
管理费用||134,592,709.56|127,157,691.53
研发费用||4,969,038.66|3,218,089.27
财务费用||95,757,887.98|96,623,059.43
其中：利息费用||95,699,434.39|96,972,789.27
利息收入||982,685.23|855,181.77
加：其他收益||31,925,973.09|52,038,927.44
投资收益（损失以“－”号填列）||8,693,872.75|5,168,452.06
其中：对联营企业和合营企业的投资收益||8,693,872.75|6,123,608.94
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|50
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-3,833,769.30|-9,120,237.68
资产减值损失（损失以“-”号填列）||241,409.05|-152,538.99
资产处置收益（损失以“－”号填列）||25,118,247.43|62,582,136.88
三、营业利润（亏损以“－”号填列）||48,316,760.21|47,486,471.75
加：营业外收入||2,571,645.69|836,170.95
减：营业外支出||1,900,128.30|10,545,162.70
四、利润总额（亏损总额以“－”号填列）||48,988,277.60|37,777,480.00
减：所得税费用||20,983,805.12|18,679,482.30
五、净利润（净亏损以“－”号填列）||28,004,472.48|19,097,997.70
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||28,004,472.48|19,097,997.70
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||24,492,620.54|16,429,102.12
2.少数股东损益（净亏损以“-”号填列）||3,511,851.94|2,668,895.58
六、其他综合收益的税后净额||-7,274,126.14|-765,667.00
（一）归属母公司所有者的其他综合收益的税后净额||-7,274,126.14|-765,667.00
1．不能重分类进损益的其他综合收益||-7,274,126.14|-765,667.00
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-7,274,126.14|-765,667.00
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||20,730,346.34|18,332,330.70
（一）归属于母公司所有者的综合收益总额||17,218,494.40|15,663,435.12
（二）归属于少数股东的综合收益总额||3,511,851.94|2,668,895.58
八、每股收益：|||
（一）基本每股收益(元/股)||0.04|0.03
（二）稀释每股收益(元/股)||0.04|0.03
