page|52
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,992,840,543.47|1,649,180,712.27
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||123,320.21|550,253.58
收到其他与经营活动有关的现金||57,452,524.50|54,169,465.92
经营活动现金流入小计||2,050,416,388.18|1,703,900,431.77
购买商品、接受劳务支付的现金||1,345,975,682.63|1,279,389,564.53
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||286,860,073.98|259,771,379.80
支付的各项税费||62,955,166.29|55,925,953.71
支付其他与经营活动有关的现金||113,158,020.21|60,571,830.49
经营活动现金流出小计||1,808,948,943.11|1,655,658,728.53
经营活动产生的现金流量净额||241,467,445.07|48,241,703.24
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||35,748,926.30|68,241,004.20
处置子公司及其他营业单位收到的现金净额|||11,491,027.93
收到其他与投资活动有关的现金|||
投资活动现金流入小计||35,748,926.30|79,732,032.13
购建固定资产、无形资产和其他长期资产支付的现金||178,643,774.61|163,941,381.42
投资支付的现金|||
质押贷款净增加额|||
page|53
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||178,643,774.61|163,941,381.42
投资活动产生的现金流量净额||-142,894,848.31|-84,209,349.29
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||2,020,000.00|2,880,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||2,061,290,000.00|2,652,160,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||2,063,310,000.00|2,655,040,000.00
偿还债务支付的现金||1,967,200,000.00|2,384,020,000.00
分配股利、利润或偿付利息支付的现金||94,633,035.46|74,424,134.59
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||98,521,500.00|133,143,500.00
筹资活动现金流出小计||2,160,354,535.46|2,591,587,634.59
筹资活动产生的现金流量净额||-97,044,535.46|63,452,365.41
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||1,528,061.30|27,484,719.36
加：期初现金及现金等价物余额||177,263,744.43|149,779,025.07
六、期末现金及现金等价物余额||178,791,805.73|177,263,744.43
