page|83
项 　　目|附注|2020年度|2019年度
一、营业总收入||7,062,870,245.49|6,181,534,697.03
其中：营业收入|五、40|6,356,950,910.91|5,631,027,316.10
利息收入|五、41|414,004,109.84|436,470,900.74
手续费及佣金收入|五、42|291,915,224.74|114,036,480.19
二、营业总成本||6,192,422,550.67|5,268,440,516.04
其中：营业成本|五、40|4,693,354,490.55|3,743,397,555.79
利息支出|五、41|38,735,125.67|41,655,381.44
手续费及佣金支出|五、42|127,528,588.94|63,999,088.44
税金及附加|五、43|40,889,755.36|45,499,759.88
销售费用|五、44|261,196,865.53|244,372,719.51
管理费用|五、45|431,444,344.74|547,017,452.74
研发费用|五、46|616,652,800.95|610,573,982.69
财务费用|五、47|-17,379,421.07|-28,075,424.45
其中:利息费用|五、47|3,200,463.34|13,673,028.90
利息收入|五、47|54,993,439.35|45,711,796.78
加：其他收益|五、48|112,785,954.09|90,530,239.34
投资收益（损失以“-”号填列）|五、49|28,409,326.54|39,216,380.80
其中：对联营企业和合营企业的投资收益|五、49|3,922,715.09|5,298,063.90
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|五、50|77,117,085.15|24,477,664.81
信用减值损失（损失以“-”号填列）|五、51|-389,485,859.94|-260,458,877.00
资产减值损失（损失以“-”号填列）|五、52|-10,798,465.39|-17,618,415.87
资产处置收益（损失以“-”号填列）|五、53|1,156,467.53|751,090.83
三、营业利润（亏损以“-”号填列）||689,632,202.80|789,992,263.90
加：营业外收入|五、54|1,608,313.95|1,651,107.65
减：营业外支出|五、55|127,696,851.05|5,622,561.36
四、利润总额（亏损总额以“-”号填列）||563,543,665.70|786,020,810.19
减：所得税费用|五、56|61,304,509.55|63,188,889.30
五、净利润（净亏损以“-”号填列）||502,239,156.15|722,831,920.89
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“-”号填列）||502,239,156.15|722,831,920.89
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司所有者的净利润（净亏损以“-”号填列）||454,486,435.70|691,278,827.56
2.少数股东损益（净亏损以“-”号填列）||47,752,720.45|31,553,093.33
六、其他综合收益的税后净额||235,703.16|606,331.36
（一）归属于母公司所有者的其他综合收益的税后净额||-723,030.74|550,394.02
1. 不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
2. 将重分类进损益的其他综合收益||-723,030.74|550,394.02
（1）权益法下可转损益的其他综合收益|||
（2）外币财务报表折算差额||-723,030.74|550,394.02
（二）归属于少数股东的其他综合收益的税后净额||958,733.90|55,937.34
七、综合收益总额||502,474,859.31|723,438,252.25
（一）归属于母公司所有者的综合收益总额||453,763,404.96|691,829,221.58
（二）归属于少数股东的综合收益总额||48,711,454.35|31,609,030.67
八、每股收益|||
（一）基本每股收益（元/股）|十六、2|0.4463|0.6702
（二）稀释每股收益（元/股）|十六、2|0.4423|0.6614
