page|68
项目|附注|2019 年度|2018 年度
一、营业总收入||47,362,153,340.22|50,160,639,278.82
其中：营业收入|七 (59)|47,286,043,656.13|50,091,747,476.47
利息收入|||
已赚保费||76,109,684.09|68,891,802.35
手续费及佣金收入|||
二、营业总成本||48,241,803,117.93|51,900,561,879.04
其中：营业成本|七 (59)|42,292,256,576.80|45,757,213,180.62
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取担保赔偿准备金||27,418,990.45|30,223,851.12
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七 (60)|508,783,065.62|557,105,938.30
销售费用|七 (61)|2,100,401,480.65|2,337,908,707.41
管理费用|七 (62)|1,813,469,923.47|1,770,886,233.68
研发费用|七 (63)|1,183,105,814.32|1,440,532,662.22
财务费用|七 (64)|316,367,266.62|6,691,305.69
page|69
其中：利息费用||429,615,196.73|421,253,577.85
利息收入||180,358,611.36|416,660,990.96
加：其他收益|七 (65)|1,011,720,708.58|1,172,241,139.00
投资收益（损失以“－”号填列）|七 (66)|160,871,356.85|-87,607,137.68
其中：对联营企业和合营企业的投资收益||-5,267,894.68|-109,836,216.53
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七 (68)|3,495,251.39|
信用减值损失（损失以“-”号填列）|七 (69)|-82,450,413.84|
资产减值损失（损失以“-”号填列）|七 (70)|-321,322,244.41|-880,525,186.98
资产处置收益（损失以“－”号填列）|七 (71)|338,329,929.76|16,342,002.78
三、营业利润（亏损以“－”号填列）||230,994,810.62|-1,519,471,783.10
加：营业外收入|七 (72)|50,567,958.28|79,632,005.92
减：营业外支出|七 (73)|192,192,130.06|36,509,280.82
四、利润总额（亏损总额以“－”号填列）||89,370,638.84|-1,476,349,058.00
减：所得税费用|七 (74)|-82,407,014.21|-55,729,169.20
五、净利润（净亏损以“－”号填列）||171,777,653.05|-1,420,619,888.80
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||171,777,653.05|-1,420,619,888.80
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||106,014,967.55|-786,143,804.11
2.少数股东损益（净亏损以“-”号填列）||65,762,685.50|-634,476,084.69
六、其他综合收益的税后净额|七 (75)|-6,390,845.76|-1,579,431.97
（一）归属母公司所有者的其他综合收益的税后净额||-5,639,838.11|-1,539,569.80
1．不能重分类进损益的其他综合收益||-4,856,146.85|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-4,856,146.85|
page|70
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-783,691.26|-1,539,569.80
（1）权益法下可转损益的其他综合收益||-1,230,793.47|
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-1,616,000.46
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||447,102.21|76,430.66
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-751,007.65|-39,862.17
七、综合收益总额||165,386,807.29|-1,422,199,320.77
（一）归属于母公司所有者的综合收益总额||100,375,129.44|-787,683,373.91
（二）归属于少数股东的综合收益总额||65,011,677.85|-634,515,946.86
八、每股收益：|||
（一）基本每股收益(元/股)||0.06|-0.42
（二）稀释每股收益(元/股)||0.06|-0.42
