page|80
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,302,403,976.17|1,204,691,695.11
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、76|73,401,948.21|45,824,497.39
经营活动现金流入小计||1,375,805,924.38|1,250,516,192.50
购买商品、接受劳务支付的现金||824,994,411.83|765,346,301.60
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||204,526,524.54|153,996,628.57
支付的各项税费||52,283,307.91|62,845,089.13
支付其他与经营活动有关的现金|七、76|250,301,090.74|148,859,026.38
经营活动现金流出小计||1,332,105,335.02|1,131,047,045.68
经营活动产生的现金流量净额||43,700,589.36|119,469,146.82
二、投资活动产生的现金流量：|||
收回投资收到的现金||456,870,131.74|186,000,000.00
取得投资收益收到的现金||1,958,216.92|335,129.37
处置固定资产、无形资产和其他长期资产收回的现金净额||100,219.95|5,000.00
page|81
处置子公司及其他营业单位收到的现金净额||27,117,374.70|11,857,010.59
收到其他与投资活动有关的现金|||
投资活动现金流入小计||486,045,943.31|198,197,139.96
购建固定资产、无形资产和其他长期资产支付的现金||107,676,244.75|66,405,672.73
投资支付的现金||457,100,000.00|215,600,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||564,776,244.75|282,005,672.73
投资活动产生的现金流量净额||-78,730,301.44|-83,808,532.77
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||730,000.00|790,000.00
其中：子公司吸收少数股东投资收到的现金||730,000.00|250,000.00
取得借款收到的现金||854,350,000.00|803,550,000.00
收到其他与筹资活动有关的现金|七、76|1,100,162.91|
筹资活动现金流入小计||856,180,162.91|804,340,000.00
偿还债务支付的现金||911,800,000.00|671,950,000.00
分配股利、利润或偿付利息支付的现金||59,983,255.61|66,998,698.38
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、76|125,283,490.48|1,100,162.91
筹资活动现金流出小计||1,097,066,746.09|740,048,861.29
筹资活动产生的现金流量净额||-240,886,583.18|64,291,138.71
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-275,916,295.26|99,951,752.76
加：期初现金及现金等价物余额||669,007,635.36|569,055,882.60
六、期末现金及现金等价物余额||393,091,340.10|669,007,635.36
