page|93
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,235,176,584.01|2,106,028,402.67
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||24,440,522.58|25,399,434.70
收到其他与经营活动有关的现金||32,026,770.89|33,613,108.66
经营活动现金流入小计||2,291,643,877.48|2,165,040,946.03
购买商品、接受劳务支付的现金||1,262,852,959.60|1,301,545,825.18
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||571,258,043.95|513,853,912.33
支付的各项税费||71,335,352.53|68,505,575.98
支付其他与经营活动有关的现金||174,511,159.98|167,315,064.55
经营活动现金流出小计||2,079,957,516.06|2,051,220,378.04
经营活动产生的现金流量净额||211,686,361.42|113,820,567.99
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,389,300,000.00|975,100,000.00
取得投资收益收到的现金||5,301,646.44|10,905,469.73
处置固定资产、无形资产和其他长期资产收回的现金净额||382,548.18|956,761.19
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||30,000,000.00
投资活动现金流入小计||1,394,984,194.62|1,016,962,230.92
购建固定资产、无形资产和其他长期资产支付的现金||147,104,520.21|107,932,075.77
投资支付的现金||1,041,500,000.00|876,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||186,636,440.04|195,371,749.61
支付其他与投资活动有关的现金|||3,000,000.00
投资活动现金流出小计||1,375,240,960.25|1,182,803,825.38
投资活动产生的现金流量净额||19,743,234.37|-165,841,594.46
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
page|94
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||215,742,600.77|182,915,595.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||215,742,600.77|182,915,595.00
偿还债务支付的现金||190,119,305.78|177,434,250.50
分配股利、利润或偿付利息支付的现金||26,741,458.39|22,223,953.53
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||2,000,000.00
筹资活动现金流出小计||216,860,764.17|201,658,204.03
筹资活动产生的现金流量净额||-1,118,163.40|-18,742,609.03
四、汇率变动对现金及现金等价物的影响||8,279,473.17|17,327,136.74
五、现金及现金等价物净增加额||238,590,905.56|-53,436,498.76
加：期初现金及现金等价物余额||446,670,163.13|500,106,661.89
六、期末现金及现金等价物余额||685,261,068.69|446,670,163.13
