page|89
项目|附 注|2019 年度|2018 年度
一、营业总收入||2,057,974,749.63|1,894,048,056.32
其中：营业收入||2,057,974,749.63|1,894,048,056.32
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,873,203,794.6|1,734,112,069.05
其中：营业成本||1,278,678,856.01|1,231,336,848.68
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||6,432,804.90|5,900,302.25
销售费用||186,838,596.87|171,123,925.33
管理费用||268,851,103.59|243,921,905.93
研发费用||134,963,523.93|93,861,686.73
财务费用||-2,561,090.70|-12,032,599.87
其中：利息费用||9,869,058.53|5,640,745.20
利息收入||10,983,818.24|10,395,363.85
加：其他收益||14,673,072.96|22,758,828.21
投资收益（损失以“－”号填列）||5,301,646.44|16,064,952.50
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||19,331.51|
信用减值损失（损失以“-”号填列）||437,511.50|
资产减值损失（损失以“-”号填列）||-12,483,035.83|-7,442,133.80
资产处置收益（损失以“－”号填列）||-61,018.80|291,693.37
三、营业利润（亏损以“－”号填列）||192,658,462.81|191,609,327.55
加：营业外收入||300,982.85|555,225.46
减：营业外支出||380,371.22|453,390.78
四、利润总额（亏损总额以“－”号填列）||192,579,074.44|191,711,162.23
减：所得税费用||17,973,942.51|24,950,921.75
五、净利润（净亏损以“－”号填列）||174,605,131.93|166,760,240.48
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||174,605,131.93|166,760,240.48
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||174,644,513.78|166,857,463.23
2.少数股东损益（净亏损以“-”号填列）||-39,381.85|-97,222.75
page|90
六、其他综合收益的税后净额||4,696,587.81|6,343,322.50
（一）归属母公司所有者的其他综合收益的税后净额||4,696,587.81|6,343,322.50
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||4,696,587.81|6,343,322.50
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||4,696,587.81|6,343,322.50
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||179,301,719.74|173,103,562.98
（一）归属于母公司所有者的综合收益总额||179,341,101.59|173,200,785.73
（二）归属于少数股东的综合收益总额||-39,381.85|-97,222.75
八、每股收益：|||
（一）基本每股收益(元/股)||0.4198|0.4345
（二）稀释每股收益(元/股)||0.4198|0.4345
