page|72
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,367,543,228.97|2,215,000,015.96
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|注释 78|240,702,630.04|265,557,513.02
经营活动现金流入小计||2,608,245,859.01|2,480,557,528.98
购买商品、接受劳务支付的现金||1,334,932,426.45|1,125,622,229.98
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||648,708,124.07|623,647,380.55
支付的各项税费||243,102,012.77|194,463,406.27
支付其他与经营活动有关的现金|注释 78|241,619,439.60|286,433,659.84
经营活动现金流出小计||2,468,362,002.89|2,230,166,676.64
经营活动产生的现金流量净额||139,883,856.12|250,390,852.34
二、投资活动产生的现金流量：|||
收回投资收到的现金||444,749,788.60|217,244,374.11
取得投资收益收到的现金||21,254,948.60|15,634,470.18
处置固定资产、无形资产和其他长期资产收回的现金净额||887,996.98|436,296.22
page|73
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||6,309,264.58|
投资活动现金流入小计||473,201,998.76|233,315,140.51
购建固定资产、无形资产和其他长期资产支付的现金||28,972,037.41|31,746,230.65
投资支付的现金||261,098,400.00|485,097,853.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||22,714,168.62|35,854,049.16
支付其他与投资活动有关的现金|||
投资活动现金流出小计||312,784,606.03|552,698,132.81
投资活动产生的现金流量净额||160,417,392.73|-319,382,992.30
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||2,343,600.00|
其中：子公司吸收少数股东投资收到的现金||2,343,600.00|
取得借款收到的现金||1,936,049,440.00|1,115,300,000.00
收到其他与筹资活动有关的现金|注释 78||
筹资活动现金流入小计||1,938,393,040.00|1,115,300,000.00
偿还债务支付的现金||1,590,121,000.00|731,400,000.00
分配股利、利润或偿付利息支付的现金||232,673,387.99|183,441,279.33
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||110,742,505.49|66,011,750.33
筹资活动现金流出小计||1,933,536,893.48|980,853,029.66
筹资活动产生的现金流量净额||4,856,146.52|134,446,970.34
四、汇率变动对现金及现金等价物的影响||-656,458.13|-215,279.08
五、现金及现金等价物净增加额||304,500,937.24|65,239,551.30
加：期初现金及现金等价物余额||730,262,937.42|665,023,386.12
六、期末现金及现金等价物余额||1,034,763,874.66|730,262,937.42
