page|64
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|注释 1|1,162,952,295.25|817,616,973.22
结算备付金|||
拆出资金|||
交易性金融资产|注释 2|47,202,247.80|
衍生金融资产|||
应收票据|注释 4|3,542,984.33|1,646,601.00
应收账款|注释 5|2,185,829,748.55|1,569,051,104.91
应收款项融资|||
预付款项|注释 7|42,550,502.81|64,548,466.84
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|注释 8|347,313,347.05|486,986,896.77
其中：应收利息||1,132,705.48|2,239,262.86
应收股利|||
买入返售金融资产|||
存货|注释 9|241,305,756.23|309,233,352.31
合同资产|注释 10|1,624,632,851.15|1,351,300,769.85
持有待售资产|||
page|65
一年内到期的非流动资产|||
其他流动资产|注释 13|2,799,859.16|64,071,877.53
流动资产合计||5,658,129,592.33|4,664,456,042.43
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|注释 15|50,000,000.00|250,000,000.00
长期应收款|注释 16|629,271,923.51|793,399,812.15
长期股权投资|注释 17|450,062,833.00|444,672,779.33
其他权益工具投资|注释 18|71,550,908.12|67,352,508.12
其他非流动金融资产|注释 19|41,292,401.47|11,729,866.91
投资性房地产|注释 20|15,211,525.23|13,984,778.39
固定资产|注释 21|404,934,023.83|410,282,590.72
在建工程|注释 22|7,364,124.90|
生产性生物资产|||
油气资产|||
使用权资产|注释 25|14,967,260.26|
无形资产|注释 26|22,905,775.01|29,422,493.73
开发支出|||
商誉|注释 28|78,767,226.52|77,356,310.40
长期待摊费用|注释 29|6,519,078.61|7,158,407.65
递延所得税资产|注释 30|168,999,178.38|134,003,339.38
其他非流动资产|注释 31|11,400,000.00|17,400,000.00
非流动资产合计||1,973,246,258.84|2,256,762,886.78
资产总计||7,631,375,851.17|6,921,218,929.21
流动负债：|||
短期借款|注释 32|1,527,565,440.00|1,067,137,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|注释 35|153,273,818.22|168,062,500.00
应付账款|注释 36|1,105,033,394.84|813,070,312.64
预收款项|注释 37|1,342,991.11|1,038,720.30
合同负债|注释 38|98,663,118.73|108,989,547.07
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|注释 39|339,893,273.48|440,849,572.75
应交税费|注释 40|223,782,365.04|217,224,025.25
其他应付款|注释 41|152,481,431.12|153,941,810.55
其中：应付利息|||
应付股利||1,219,911.89|1,219,911.89
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|注释 43|18,733,037.46|309,423,239.72
page|66
其他流动负债|注释 44|6,686,018.74|6,248,987.36
流动负债合计||3,627,454,888.74|3,285,985,715.64
非流动负债：|||
保险合同准备金|||
长期借款|注释 45|249,700,000.00|50,238,212.50
应付债券|||
其中：优先股|||
永续债|||
租赁负债|注释 47|10,228,053.10|
长期应付款|注释 48|350,122,733.87|489,894,979.76
长期应付职工薪酬|||
预计负债|||
递延收益|注释 51|8,563,583.59|7,902,826.39
递延所得税负债|注释 30|1,523,100.37|1,132,466.73
其他非流动负债|注释 52|25,060,903.02|27,666,584.51
非流动负债合计||645,198,373.95|576,835,069.89
负债合计||4,272,653,262.69|3,862,820,785.53
所有者权益（或股东权益）：|||
实收资本（或股本）|注释 53|313,804,147.00|241,437,855.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|注释 55|752,380,853.08|801,062,260.79
减：库存股|注释 56|17,812,327.20|56,104,380.00
其他综合收益|注释 57|4,020,988.47|1,624,151.59
专项储备|注释 58|42,302,375.25|28,925,942.89
盈余公积|注释 59|215,738,016.79|214,707,083.81
一般风险准备|||
未分配利润|注释 60|1,988,194,515.62|1,804,526,664.11
归属于母公司所有者权益（或股东权益）合计||3,298,628,569.01|3,036,179,578.19
少数股东权益||60,094,019.47|22,218,565.49
所有者权益（或股东权益）合计||3,358,722,588.48|3,058,398,143.68
负债和所有者权益（或股东权益）总计||7,631,375,851.17|6,921,218,929.21
