page|68
项目|附注七|2021 年度|2020 年度
一、营业总收入|注释 61|3,039,431,545.30|2,797,839,345.42
其中：营业收入|注释 61|3,039,431,545.30|2,797,839,345.42
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,371,283,738.54|2,078,529,556.94
其中：营业成本|注释 61|1,925,950,736.70|1,625,323,274.86
page|69
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|注释 62|25,987,055.80|16,999,207.53
销售费用|注释 63|55,700,482.19|49,727,016.57
管理费用|注释 64|225,740,064.10|218,395,854.31
研发费用|注释 65|61,379,873.98|98,709,676.36
财务费用|注释 66|76,525,525.77|69,374,527.31
其中：利息费用||73,725,399.24|57,060,651.60
利息收入||32,930,765.70|22,895,018.93
加：其他收益|注释 67|14,220,814.86|35,441,134.09
投资收益（损失以“－”号填列）|注释 68|28,299,223.61|22,253,658.75
其中：对联营企业和合营企业的投资收益||10,986,678.55|5,441,470.16
以摊余成本计量的金融资产终止确认收益||-361,102.82|
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|注释 70|1,562,534.56|1,095,302.56
信用减值损失（损失以“-”号填列）|注释 71|-203,431,153.67|-167,081,976.29
资产减值损失（损失以“-”号填列）|注释 72|-91,977,602.75|-2,971,453.44
资产处置收益（损失以“－”号填列）|注释 73|-495,134.33|-232,511.61
三、营业利润（亏损以“－”号填列）||416,326,489.04|607,813,942.54
加：营业外收入|注释 74|445,835.34|12,842.22
减：营业外支出|注释 75|1,464,265.42|940,504.15
四、利润总额（亏损总额以“－”号填列）||415,308,058.96|606,886,280.61
减：所得税费用|注释 76|69,222,041.67|90,236,843.62
五、净利润（净亏损以“－”号填列）||346,086,017.29|516,649,436.99
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||346,086,017.29|516,649,436.99
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
page|70
1.归属于母公司股东的净利润（净亏损以“-”号填列）||337,942,971.87|513,587,335.27
2.少数股东损益（净亏损以“-”号填列）||8,143,045.42|3,062,101.72
六、其他综合收益的税后净额||2,396,836.88|1,559,633.74
（一）归属母公司所有者的其他综合收益的税后净额||2,396,836.88|1,559,633.74
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||2,396,836.88|1,559,633.74
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||2,396,836.88|1,559,633.74
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||348,482,854.17|518,209,070.73
（一）归属于母公司所有者的综合收益总额||340,339,808.75|515,146,969.01
（二）归属于少数股东的综合收益总额||8,143,045.42|3,062,101.72
八、每股收益：|||
（一）基本每股收益(元/股)||1.08|1.66
（二）稀释每股收益(元/股)||1.08|1.66
