page|96
项目|附注|本年累计数|上年累计数 （已重述）
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||11,781,645,781.25|9,891,122,976.60
收到的税费返还||17,680,071.36|127,961.23
收到其他与经营活动有关的现金|八、56|1,491,096,609.57|1,793,480,208.38
经营活动现金流入小计||13,290,422,462.18|11,684,731,146.21
购买商品、接受劳务支付的现金||5,656,147,051.26|4,933,283,669.49
支付给职工及为职工支付的现金||3,859,952,133.75|3,341,759,885.30
支付的各项税费||588,824,736.76|507,555,892.31
支付其他与经营活动有关的现金|八、56|2,482,754,862.81|1,909,812,922.49
经营活动现金流出小计||12,587,678,784.58|10,692,412,369.59
经营活动产生的现金流量净额|八、56|702,743,677.60|992,318,776.62
二、投资活动产生的现金流量：|||
收回投资收到的现金||13,579,441.60|-
取得投资收益收到的现金||482,742.97|27,254,228.79
处置固定资产、无形资产和其他长期资产收回的现金净额||856,708.56|136,324.40
收到其他与投资活动有关的现金|八、56|11,039,214.74|-
投资活动现金流入小计||25,958,107.87|27,390,553.19
购建固定资产、无形资产和其他长期资产支付的现金||18,581,800.40|35,301,324.57
投资支付的现金||18,140,000.00|4,960,000.00
取得子公司及其他营业单位支付的现金净额||37,118.99|-
支付其他与投资活动有关的现金|八、56|283,620,000.00|-
投资活动现金流出小计||320,378,919.39|40,261,324.57
投资活动产生的现金流量净额||-294,420,811.52|-12,870,771.38
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||200,000.00|5,470,000.00
其中：子公司吸收少数股东投资收到的现金||200,000.00|3,470,000.00
取得借款收到的现金||2,098,275,000.00|660,000,000.00
收到其他与筹资活动有关的现金|八、56|-|87,500,000.00
筹资活动现金流入小计||2,098,475,000.00|752,970,000.00
偿还债务支付的现金||2,388,166,666.67|1,516,073,897.22
分配股利、利润或偿付利息支付的现金||266,090,504.48|306,747,465.89
其中：子公司支付给少数股东的股利、利润||6,866,175.27|13,230,156.78
支付其他与筹资活动有关的现金|八、56|86,940,684.97|1,586,083.15
筹资活动现金流出小计||2,741,197,856.12|1,824,407,446.26
筹资活动产生的现金流量净额||-642,722,856.12|-1,071,437,446.26
四、汇率变动对现金及现金等价物的影响||-|67,785.17
五、现金及现金等价物净增加（减少）额|八、55|-234,399,990.04|-91,921,655.85
加：年初现金及现金等价物余额|八、56|2,275,518,841.03|2,367,440,496.88
六、年末现金及现金等价物余额|八、56|2,041,118,850.99|2,275,518,841.03
