page|93
项目|附注|本年累计数|上年累计数 （已重述）
一、营业总收入||10,590,930,092.88|8,651,160,646.79
其中：营业收入|八、41|10,590,930,092.88|8,651,160,646.79
减：营业总成本||9,133,467,503.07|7,473,057,200.82
其中：营业成本|八、41|9,133,467,503.07|7,473,057,200.82
税金及附加|八、42|92,150,708.46|75,049,653.59
销售费用|八、43|86,728,893.51|64,133,154.72
管理费用|八、44|386,834,756.72|348,859,494.50
研发费用|八、45|37,537,371.86|19,621,974.94
财务费用|八、46|132,494,562.74|178,063,716.86
其中：利息费用||144,387,580.24|184,670,460.14
利息收入||25,587,223.90|16,219,895.99
加：其他收益|八、47|71,336,112.06|90,568,937.41
投资收益|八、48|4,481,514.03|3,919,643.65
其中：对联营企业和合营企业的投资收益||4,481,514.03|3,845,454.20
公允价值变动收益（损失）|八、49|106,699,059.84|-5,696.08
信用减值利得（损失）|八、50|-50,308,078.62|12,469,090.21
资产减值利得（损失）|八、51|-110,335,514.80|2,637,665.98
资产处置收益（损失）|八、52|1,069,027.86|-242,772.97
page|94
项目|附注|本年累计数|上年累计数 （已重述）
二、营业利润||744,658,416.89|601,722,319.56
加：营业外收入|八、53|11,888,259.18|33,789,222.49
减：营业外支出|八、54|10,174,395.86|6,555,858.28
三、利润总额||746,372,280.21|628,955,683.77
减：所得税费用|八、55|293,731,608.62|217,970,333.24
四、净利润||452,640,671.59|410,985,350.53
（一）按所有权归属分类|||
1．归属于母公司所有者的净利润||512,870,409.02|437,412,496.28
2．少数股东损益（净亏损）||-60,229,737.43|-26,427,145.75
（二）按经营持续性分类|||
1．持续经营净利润||452,640,671.59|410,985,350.53
2．终止经营净利润||-|-
五、其他综合收益的税后净额|八、37|353,578.58|-1,128,166.52
归属于母公司所有者的其他综合收益的税后净额|||
（一）不能重分类进损益的其他综合收益||205,585.79|-98,176.15
1．重新计量设定受益计划变动额||-|-
2．权益法下不能转损益的其他综合收益||-|-
3．其他权益工具投资公允价值变动||205,585.79|-98,176.15
4．企业自身信用风险公允价值变动||-|-
（二）将重分类进损益的其他综合收益||147,992.79|-1,029,990.37
1．权益法下可转损益的其他综合收益||-|-
2．其他债权投资公允价值变动||-|-
3．金融资产重分类计入其他综合收益的金额||-|-
4．其他债权投资信用减值准备||-|-
5．现金流量套期储备（现金流量套期损益的有效部分）||-|-
6．外币财务报表折算差额||147,992.79|-1,029,990.37
归属于少数股东的其他综合收益的税后净额||-|-
六、综合收益总额||452,994,250.17|409,857,184.01
归属于母公司所有者的综合收益总额||513,223,987.60|436,284,329.76
归属于少数股东的综合收益总额||-60,229,737.43|-26,427,145.75
七、每股收益|||
基本每股收益||0.4837|0.4125
稀释每股收益||0.4837|0.4125
