page|116
项目|附注十一|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七（1）|10,579,173,507.64|9,564,066,247.50
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|七（4）|2,372,778,316.07|
应收账款|七（5）|11,655,843,735.92|13,538,097,771.45
应收款项融资|七（6）|2,103,645,025.91|3,687,527,600.90
预付款项|七（7）|2,229,252,786.69|2,742,936,327.44
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七（8）|568,717,165.89|453,553,624.76
其中：应收利息||41,720,870.83|
应收股利|||
买入返售金融资产|||
存货|七（9）|10,110,544,256.87|8,593,433,771.18
合同资产|七（10）|618,638,726.36|
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七（13）|223,981,879.80|207,789,187.17
流动资产合计||40,462,575,401.15|38,787,404,530.40
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|七（16）|822,082.65|970,490.61
长期股权投资|七（17）|1,173,380,290.80|1,124,716,796.77
其他权益工具投资|七（18）|419,409,762.97|391,571,982.16
其他非流动金融资产|||
投资性房地产|七（20）|12,858,961.68|13,495,018.80
固定资产|七（21）|8,266,236,455.66|8,236,177,775.38
在建工程|七（22）|4,327,902,952.09|3,923,656,117.08
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七（26）|2,333,022,217.18|2,262,559,443.53
开发支出|七（27）|376,906,120.96|301,292,084.68
商誉|||
page|117
长期待摊费用|七（29）|15,048,049.34|14,125,431.31
递延所得税资产|七（30）|376,539,448.91|370,387,845.20
其他非流动资产|七（31）|979,987,266.91|589,346,672.36
非流动资产合计||18,282,113,609.15|17,228,299,657.88
资产总计||58,744,689,010.30|56,015,704,188.28
流动负债：|||
短期借款|七（32）|1,780,626,624.99|2,149,573,252.78
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七（35）|2,413,873,981.07|1,951,575,093.59
应付账款|七（36）|7,171,772,928.83|6,639,789,247.00
预收款项|||2,847,163,176.91
合同负债|七（38）|1,810,326,851.74|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七（39）|244,005,156.86|170,320,261.73
应交税费|七（40）|294,203,235.62|377,047,392.65
其他应付款|七（41）|847,155,695.55|1,084,828,540.84
其中：应付利息|||
应付股利|七（41）|15,392,003.32|8,840,230.84
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七（43）|310,183,284.28|501,867,492.61
其他流动负债|七（44）|658,081,335.14|352,597.98
流动负债合计||15,530,229,094.08|15,722,517,056.09
非流动负债：|||
保险合同准备金|||
长期借款|七（45）|1,779,000,000.00|1,280,000,000.00
应付债券|七（46）|2,075,374,430.46|
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七（48）|1,646,498,980.37|1,623,797,088.49
长期应付职工薪酬|七（49）|287,550,000.00|393,580,967.99
预计负债|七（50）|57,232,273.61|85,773,129.61
递延收益|七（51）|387,778,967.73|332,697,861.89
递延所得税负债|七（30）|6,668,370.49|6,668,370.49
其他非流动负债|七（52）|423,332,272.90|
非流动负债合计||6,663,435,295.56|3,722,517,418.47
负债合计||22,193,664,389.64|19,445,034,474.56
所有者权益（或股东权益）：|||
实收资本（或股本）|七（53）|2,160,681,619.00|1,694,995,962.00
其他权益工具|七（54）|89,610,707.54|
page|118
其中：优先股|||
永续债|||
资本公积|七（55）|26,459,007,135.34|19,206,933,264.72
减：库存股|||
其他综合收益|七（57）|273,938,196.51|193,100,377.10
专项储备|七（58）|70,529,550.78|48,095,166.90
盈余公积|七（59）|610,596,447.17|587,463,787.67
一般风险准备|||
未分配利润|七（60）|6,118,233,999.65|5,597,938,013.63
归属于母公司所有者权益（或股东权益）合计||35,782,597,655.99|27,328,526,572.02
少数股东权益||768,426,964.67|9,242,143,141.70
所有者权益（或股东权益）合计||36,551,024,620.66|36,570,669,713.72
负债和所有者权益（或股东权益）总计||58,744,689,010.30|56,015,704,188.28
