page|148
平安银行股份有限公司|||
合并利润表|||
2020年度|||
(除特别注明外，金额单位均为人民币百万元)|||
||本集团|
|附注三|2020年度|2019年度
一、营业收入|||
利息收入|37|187,187|177,549
|37||
利息支出||(87,537)|(87,588)
|37||
利息净收入||99,650|89,961
手续费及佣金收入|38|53,296|45,903
手续费及佣金支出|38|(9,815)|(9,160)
手续费及佣金净收入|38|43,481|36,743
投资收益|39|9,921|9,710
其中：以摊余成本计量的金融资产终止|||
确认产生的收益||621|78
公允价值变动损益|40|(614)|49
汇兑损益|41|762|1,196
其他业务收入|42|111|110
资产处置损益||57|(30)
其他收益||174|219
营业收入合计||153,542|137,958
二、营业支出|||
税金及附加|43|(1,525)|(1,290)
业务及管理费|44|(44,690)|(40,852)
营业支出合计||(46,215)|(42,142)
三、减值损失前营业利润||107,327|95,816
信用减值损失|45|(69,611)|(58,471)
其他资产减值损失||(807)|(1,056)
四、营业利润||36,909|36,289
加：营业外收入||77|99
减：营业外支出||(232)|(148)
五、利润总额||36,754|36,240
减：所得税费用|46|(7,826)|(8,045)
六、净利润||28,928|28,195
(一)持续经营净利润||28,928|28,195
