page|143
合并现金流量表||||
2020年度|||单位：人民币千元|
|附注五|2020年度||2019年度
一、 经营活动产生的现金流量||||
销售商品、提供劳务收到的现金||1,718,935,581||1,504,062,812
收到的税费返还||195,961||89,985
收到其他与经营活动有关的现金|64|16,405,472||19,369,597
经营活动现金流入小计||1,735,537,014||1,523,522,394
购买商品、接受劳务支付的现金||1,543,777,349||1,394,717,262
支付给职工以及为职工支付的现金||78,597,334||73,848,103
支付的各项税费||65,839,462||59,391,122
支付其他与经营活动有关的现金|64|27,051,088||29,785,984
经营活动现金流出小计||1,715,265,233||
||||1,557,742,471
经营活动产生/(使用)的现金流量净额|65|20,271,781|(|34,220,077 )
二、 投资活动产生的现金流量||||
收回投资收到的现金||6,358,245||8,393,599
取得投资收益收到的现金||3,944,880||4,957,371
处置固定资产、无形资产和其他长期||||
资产收回的现金净额||3,277,269||2,186,400
处置子公司及其他营业单位收到的现||||
现  金净额||20,018||48,539
收购子公司及其他营业单位收到的||||
现金净额||-||467,693
收到其他与投资活动有关的现金|64|15,930,043||16,235,302
投资活动现金流入小计||29,530,455||32,288,904
建固定资产、无形资产和其他长期||||
购资产支付的现金||49,497,737||20,436,792
投资支付的现金||13,207,131||11,280,575
取得子公司及其他营业单位支付的||||
现金净额||2,496,697||-
支付其他与投资活动有关的现金|64|16,956,675||20,384,348
投资活动现金流出小计||82,158,240||52,101,715
page|144
附注五||2020年度||2019年度
三、 筹资活动产生的现金流量||||
吸收投资收到的现金||57,099,738||29,815,290
其中：子公司吸收少数股东投资收到||||
的现金||47,099,738||29,815,290
取得借款收到的现金||271,654,818||184,449,477
发行债券收到的现金||21,637,147||15,130,566
收到其他与筹资活动有关的现金 64||14,260,156||10,533,485
筹资活动现金流入小计||364,651,859||239,928,818
偿还债务支付的现金||254,857,899||161,987,155
分配股利、利润或偿付利息支付的现金||40,939,333||37,387,427
其中：子公司支付给少数股东的股利||||
、利润||10,065,197||8,009,883
购买子公司少数股权而支付的现金||517,410||222,492
支付其他与筹资活动有关的现金 64||37,519,166||14,023,834
筹资活动现金流出小计||333,833,808||
||||213,620,908
筹资活动产生的现金流量净额||30,818,051||26,307,910
四、 汇率变动对现金及现金等价物的影响|(|2,328,275 )||642,592
五、 现金及现金等价物净减少额|(|3,866,228 )|(|27,082,386 )
加：年初现金及现金等价物余额||271,727,808||298,810,194
