page|98
项目|附注|2021 年度|2020 年度
一、营业总收入||4,524,553,773.90|6,319,139,499.54
其中：营业收入||4,524,553,773.90|6,319,139,499.54
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,705,278,622.83|8,854,823,797.58
其中：营业成本||2,943,578,325.01|4,373,270,721.15
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||223,158,384.43|991,996,901.93
销售费用||137,777,284.55|173,326,690.82
管理费用||1,127,272,733.10|597,492,795.37
研发费用|||6,473,988.49
财务费用||273,491,895.74|2,712,262,699.82
其中：利息费用||336,358,321.13|3,327,927,670.39
利息收入||70,630,441.44|621,212,761.14
加：其他收益||134,764,998.50|190,488,597.21
投资收益（损失以“－”号填列）||1,254,759,614.26|-3,016,006,298.16
其中：对联营企业和合营企业的投资收益||260,407,839.14|-5,180,131,302.28
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-161,932,876.12|-349,804,064.29
信用减值损失（损失以“-”号填列）||113,651,434.89|-3,006,801,647.47
资产减值损失（损失以“-”号填列）||-174,156,670.75|-466,643,793.95
page|99
资产处置收益（损失以“－”号填列）||1,890,985.09|22,344,563.16
三、营业利润（亏损以“－”号填列）||988,252,636.94|-9,162,106,941.54
加：营业外收入||29,526,979.00|11,982,979.66
减：营业外支出||187,669,663.76|970,791,421.69
四、利润总额（亏损总额以“－”号填列）||830,109,952.18|-10,120,915,383.57
减：所得税费用||381,081,636.16|-440,858,348.37
五、净利润（净亏损以“－”号填列）||449,028,316.02|-9,680,057,035.20
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||449,028,316.02|-9,680,057,035.20
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||463,289,691.71|-7,765,064,383.38
2.少数股东损益（净亏损以“-”号填列）||-14,261,375.69|-1,914,992,651.82
六、其他综合收益的税后净额||1,047,271,486.15|-9,414,476,010.49
（一）归属母公司所有者的其他综合收益的税后净额||1,030,232,743.68|-8,337,650,278.33
1．不能重分类进损益的其他综合收益||-251,721,292.15|-8,188,138,419.42
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||-10,270,635.53|
（3）其他权益工具投资公允价值变动||-241,450,656.62|-8,188,138,419.42
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||1,281,954,035.83|-149,511,858.91
（1）权益法下可转损益的其他综合收益||702,591,457.87|-284,253,607.42
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-41,123,046.61|-41,396,141.41
（7）其他||620,485,624.57|176,137,889.92
其中：自用房地产或存货转换为以公允价值模式计量的投资性房地产转换日公允价值大于账面价值部分||620,485,624.57|176,137,889.92
（二）归属于少数股东的其他综合收益的税后净额||17,038,742.47|-1,076,825,732.16
七、综合收益总额||1,496,299,802.17|-19,094,533,045.69
（一）归属于母公司所有者的综合收益总额||1,493,522,435.39|-16,102,714,661.71
（二）归属于少数股东的综合收益总额||2,777,366.78|-2,991,818,383.98
八、每股收益：|||
（一）基本每股收益(元/股)||0.0405|-0.6796
（二）稀释每股收益(元/股)||0.0405|-0.6796
