page|138
||现金流量表|||
编制单位：丽珠医药集团股份有限公司|||||金额单位：人民币元
||本年数||上年数|
项           目|附注||||
||合并|公司|合并|公司
一、经营活动产生的现金流量：|||||
销售商品、提供劳务收到的现金||9,870,473,698.39|5,363,323,813.59|9,768,960,092.56|5,418,166,916.36
收到的税费返还||78,148,503.69||107,391,240.43|
收到其他与经营活动有关的现金|五、54|479,844,345.42|315,214,829.38|680,681,144.03|429,953,587.49
经营活动现金流入小计||10,428,466,547.50|5,678,538,642.97|10,557,032,477.02|5,848,120,503.85
购买商品、接受劳务支付的现金||2,559,855,010.72|3,207,097,348.99|2,599,192,448.82|3,985,184,121.08
支付给职工以及为职工支付的现金||971,708,686.98|267,818,409.15|880,652,150.38|223,854,043.35
支付的各项税费||1,089,374,555.70|294,046,556.57|1,838,966,543.62|911,867,255.71
支付其他与经营活动有关的现金|五、54|4,040,365,411.33|1,932,608,100.60|3,970,600,153.16|1,886,295,099.30
经营活动现金流出小计||8,661,303,664.73|5,701,570,415.31|9,289,411,295.98|7,007,200,519.44
经营活动产生的现金流量净额||1,767,162,882.77|-23,031,772.34|1,267,621,181.04|-1,159,080,015.59
二、投资活动产生的现金流量：|||||
收回投资收到的现金||127,669,831.39|25,112,000.00|33,100,525.00|519,100,525.00
取得投资收益收到的现金||8,471,843.49|272,542,856.51|3,906,200.68|740,062,804.98
处置固定资产、无形资产和其他长期资产|||||
||1,859,052.00|1,101,113.18|450,353.09|250,000.00
收回的现金净额|||||
处置子公司及其他营业单位收到的现金|||||
||||24,749,467.35|
净额|||||
收到其他与投资活动有关的现金|五、54|88,496,772.62||1,225,000.00|
投资活动现金流入小计||226,497,499.50|298,755,969.69|63,431,546.12|1,259,413,329.98
购置固定资产、无形资产和其他长期资产|||||
||397,997,407.34|47,098,895.71|474,472,400.55|33,477,381.49
支付的现金|||||
投资支付的现金||126,120,301.78|8,255,000.00|555,972,142.47|539,372,200.00
取得子公司及其他营业单位支付的现金|||||
净额|||||
支付其他与投资活动有关的现金|五、54|18,404,270.38||53,832,171.20|
投资活动现金流出小计||542,521,979.50|55,353,895.71|1,084,276,714.22|572,849,581.49
投资活动产生的现金流量净额||-316,024,480.00|243,402,073.98|-1,020,845,168.10|686,563,748.49
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金||11,702,474.00||637,590,000.00|
其中：子公司吸收少数股东投资收到的|||||
||11,702,474.00||637,590,000.00|
现金|||||
取得借款收到的现金||1,509,316,912.60|1,300,000,000.00|1,800,000,000.00|1,500,000,000.00
收到其他与筹资活动有关的现金|五、54|2,926,091.34|1,273,517,481.18|1,199,047.19|1,694,487,361.22
筹资活动现金流入小计||1,523,945,477.94|2,573,517,481.18|2,438,789,047.19|3,194,487,361.22
偿还债务支付的现金||1,650,000,000.00|1,650,000,000.00|300,000,000.00|
分配股利、利润或偿付利息支付的现金||1,054,757,971.85|868,457,971.85|1,277,489,115.93|1,115,487,907.64
其中：子公司支付少数股东的股利、利|||||
||186,300,000.00||156,800,000.00|
润|||||
支付其他与筹资活动有关的现金|五、54|269,345.90|7,349,101.31|3,875,932.38|595,641,148.52
筹资活动现金流出小计||2,705,027,317.75|2,525,807,073.16|1,581,365,048.31|1,711,129,056.16
筹资活动产生的现金流量净额||-1,181,081,839.81|47,710,408.02|857,423,998.88|1,483,358,305.06
四、汇率变动对现金及现金等价物的影响||20,418,084.63|-563,420.70|58,537,258.94|-45,566.25
五、现金及现金等价物净增加额||290,474,647.59|267,517,288.96|1,162,737,270.76|1,010,796,471.71
加：期初现金及现金等价物余额||8,563,711,205.95|7,505,401,614.22|7,400,973,935.19|6,494,605,142.51
六、期末现金及现金等价物余额||8,854,185,853.54|7,772,918,903.18|8,563,711,205.95|7,505,401,614.22
董事长兼法定代表人：朱保国|执行董事兼总裁：唐阳刚    主管会计工作负责人：司燕霞    会计机构负责人：庄健莹||||
