page|75
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||923,240,943.66|1,106,510,827.33
金融业务收到的贷款利息||204,187,708.37|265,918,615.26
金融业务发放贷款的净减少额|||419,000,000.00
拆入资金净增加额||8,000,000.00|
收到的税费返还|||1,958,843.25
收到其他与经营活动有关的现金|（五十六）|115,299,195.01|136,437,168.00
经营活动现金流入小计||1,250,727,847.04|1,929,825,453.84
购买商品、接受劳务支付的现金||420,054,166.10|630,942,366.88
金融业务支付的利息||24,965,840.15|57,603,822.05
金融业务拆入资金的净减少额|||489,000,000.00
金融业务发放贷款的净增加额||85,000,000.00|
支付给职工以及为职工支付的现金||119,808,232.05|152,328,553.15
支付的各项税费||90,800,600.35|120,158,939.52
支付其他与经营活动有关的现金|（五十六）|209,112,090.29|286,259,416.07
经营活动现金流出小计||949,740,928.94|1,736,293,097.67
经营活动产生的现金流量净额||300,986,918.10|193,532,356.17
二、投资活动产生的现金流量|||
收回投资收到的现金||283,044,926.23|2,658,488,303.75
取得投资收益收到的现金||75,903.11|47,108,777.89
处置固定资产、无形资产和其他长期资产收回的现金净额||658,010.78|13,473.76
处置子公司及其他营业单位收到的现金净额||77,442,262.26|
收到其他与投资活动有关的现金|||
投资活动现金流入小计||361,221,102.38|2,705,610,555.40
购建固定资产、无形资产和其他长期资产支付的现金||56,887,425.46|122,325,734.00
投资支付的现金|||2,139,650,001.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||56,887,425.46|2,261,975,735.00
投资活动产生的现金流量净额||304,333,676.92|443,634,820.40
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,020,000,000.00|438,718,866.00
收到其他与筹资活动有关的现金|（五十六）|103,940,807.63|107,850,000.00
筹资活动现金流入小计||1,123,940,807.63|546,568,866.00
偿还债务支付的现金||1,260,268,000.00|749,555,502.00
分配股利、利润或偿付利息支付的现金||320,655,956.63|405,787,138.42
其中：子公司支付给少数股东的股利、利润|||53,532,486.42
支付其他与筹资活动有关的现金|（五十六）|198,379,458.23|539,220,904.87
筹资活动现金流出小计||1,779,303,414.86|1,694,563,545.29
筹资活动产生的现金流量净额||-655,362,607.23|-1,147,994,679.29
四、汇率变动对现金及现金等价物的影响||2,743.59|493.03
五、现金及现金等价物净增加额|（五十七）|-50,039,268.62|-510,827,009.69
加：期初现金及现金等价物余额|（五十七）|120,827,068.59|631,654,078.28
六、期末现金及现金等价物余额|（五十七）|70,787,799.97|120,827,068.59
