page|73
项目|附注五|本期金额|上期金额
一、营业总收入||948,963,902.32|949,111,225.86
其中：营业收入|（四十二）|948,963,902.32|949,111,225.86
二、营业总成本||742,792,844.85|853,881,613.58
其中：营业成本|（四十二）|284,153,946.26|349,099,149.19
税金及附加|（四十三）|22,534,563.67|24,613,835.85
销售费用|（四十四）|23,157,847.03|43,422,796.66
管理费用|（四十五）|101,791,563.95|127,120,633.18
研发费用|||
财务费用|（四十六）|311,154,923.94|309,625,198.70
其中：利息费用|（四十六）|308,174,456.88|308,638,923.73
利息收入|（四十六）|1,621,591.59|6,210,632.47
加：其他收益|（四十七）|2,511,533.43|1,662,671.56
投资收益（损失以“-”号填列）|（四十八）|6,934,385.64|108,910,876.60
其中：对联营企业和合营企业的投资收益|（四十八）|-281,867.50|54,275,336.60
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（四十九）||24,425,616.47
信用减值损失（损失以“-”号填列）|（五十）|-81,739,331.94|
资产减值损失（损失以“-”号填列）|（五十一）|-17,211,347.05|-92,923,445.57
资产处置收益（损失以“-”号填列）|（五十二）|462,124.02|3,082.12
三、营业利润（亏损以“-”号填列）||117,128,421.57|137,308,413.46
加：营业外收入|（五十三）|13,571,690.53|11,845,449.37
减：营业外支出|（五十四）|1,657,310.96|1,086,886.13
四、利润总额（亏损总额以“-”号填列）||129,042,801.14|148,066,976.70
减：所得税费用|（五十五）|52,768,296.42|29,404,629.89
五、净利润（净亏损以“-”号填列）||76,274,504.72|118,662,346.81
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||76,274,504.72|118,662,346.81
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||50,601,071.03|90,652,194.53
2．少数股东损益（净亏损以“-”号填列）||25,673,433.69|28,010,152.28
六、其他综合收益的税后净额||32,262,069.57|24,075,920.80
归属于母公司所有者的其他综合收益的税后净额||32,262,069.57|24,075,920.80
（一）不能重分类进损益的其他综合收益||32,262,069.57|
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||32,262,069.57|
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益|||24,075,920.80
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动|||
3．可供出售金融资产公允价值变动损益|||
4．金融资产重分类计入其他综合收益的金额|||
5．持有至到期投资重分类为可供出售金融资产损益|||
6．其他债权投资信用减值准备|||
7．现金流量套期储备（现金流量套期损益的有效部分）|||
8．外币财务报表折算差额|||
9．其他（存货转换为采用公允价值模式计量的投资性房地|||24,075,920.80
产）        归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||108,536,574.29|142,738,267.61
归属于母公司所有者的综合收益总额||82,863,140.60|114,728,115.33
归属于少数股东的综合收益总额||25,673,433.69|28,010,152.28
八、每股收益：|||
（一）基本每股收益（元/股）||0.04|0.08
（二）稀释每股收益（元/股）||0.04|0.08
