page|66
项目|附注七|2020 年度|2019 年度
一、营业总收入|（61）|963,003,026.98|779,439,687.65
其中：营业收入||963,003,026.98|779,439,687.65
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|（61）|778,274,993.45|647,904,059.06
其中：营业成本||659,061,409.53|540,828,044.53
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（62）|3,252,114.29|3,652,271.31
销售费用|（63）|14,915,192.15|15,283,039.60
管理费用|（64）|25,310,947.80|23,851,420.93
研发费用|（65）|77,066,564.96|53,996,475.21
财务费用|（66）|-1,331,235.28|10,292,807.48
其中：利息费用||776,608.82|8,730,671.30
page|67
利息收入||1,623,553.80|160,063.17
加：其他收益|（67）|15,893,539.33|18,397,319.77
投资收益（损失以“－”号填列）|（68）|5,612,478.26|295,854.33
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（70）|962,545.47|60,423.61
信用减值损失（损失以“-”号填列）|（71）|-2,118,798.98|-4,889,668.73
资产减值损失（损失以“-”号填列）|（72）|-256,068.02|-534,053.79
资产处置收益（损失以“－”号填列）|（73）|-39,178.79|-8,922.62
三、营业利润（亏损以“－”号填列）||204,782,550.80|144,856,581.16
加：营业外收入|（74）|4,027,694.18|7,789.65
减：营业外支出|（75）|51,457.53|57,360.85
四、利润总额（亏损总额以“－”号填列）||208,758,787.45|144,807,009.96
减：所得税费用|（76）|27,730,806.05|9,003,450.03
五、净利润（净亏损以“－”号填列）||181,027,981.40|135,803,559.93
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||181,027,981.40|135,803,559.93
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||180,682,635.94|135,278,512.36
2.少数股东损益（净亏损以“-”号填列）||345,345.46|525,047.57
六、其他综合收益的税后净额|（77）|-350,559.98|-447,498.27
（一）归属母公司所有者的其他综合收益的税后净额||-245,391.98|-313,248.79
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值|||
page|68
变动|||
2．将重分类进损益的其他综合收益||-245,391.98|-313,248.79
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-245,391.98|-313,248.79
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-105,168.00|-134,249.48
七、综合收益总额||180,677,421.42|135,356,061.66
（一）归属于母公司所有者的综合收益总额||180,437,243.96|134,965,263.57
（二）归属于少数股东的综合收益总额||240,177.46|390,798.09
八、每股收益：|||
（一）基本每股收益(元/股)||1.15|1.13
（二）稀释每股收益(元/股)||1.15|1.13
