page|70
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||671,698,814.64|747,652,316.31
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,007,206.07|6,896,296.18
收到其他与经营活动有关的现金|（78）|15,191,696.15|21,184,281.84
经营活动现金流入小计||690,897,716.86|775,732,894.33
购买商品、接受劳务支付的现金||674,097,741.82|543,099,018.79
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||89,479,686.65|75,754,291.41
支付的各项税费||27,343,699.45|47,172,402.49
支付其他与经营活动有关的现金|（78）|25,542,580.52|21,380,625.56
经营活动现金流出小计||816,463,708.44|687,406,338.25
经营活动产生的现金流量净额||-125,565,991.58|88,326,556.08
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,569,700,000.00|332,400,000.00
取得投资收益收到的现金||6,558,675.79|356,277.94
page|71
处置固定资产、无形资产和其他长期资产收回的现金净额||150,000.00|42,735.04
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,576,408,675.79|332,799,012.98
购建固定资产、无形资产和其他长期资产支付的现金||89,740,225.65|49,468,228.77
投资支付的现金||1,708,700,000.00|332,400,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,798,440,225.65|381,868,228.77
投资活动产生的现金流量净额||-222,031,549.86|-49,069,215.79
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||475,401,526.00|
其中：子公司吸收少数股东投资收到的现金||801,526.00|
取得借款收到的现金||15,847,070.14|184,211,862.50
收到其他与筹资活动有关的现金|（78）|508.63|
筹资活动现金流入小计||491,249,104.77|184,211,862.50
偿还债务支付的现金||97,074,149.09|191,644,566.58
分配股利、利润或偿付利息支付的现金||41,627,337.99|18,695,047.13
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（78）|18,108,231.02|11,070.33
筹资活动现金流出小计||156,809,718.10|210,350,684.04
筹资活动产生的现金流量净额||334,439,386.67|-26,138,821.54
四、汇率变动对现金及现金等价物的影响||-590,763.64|-90,440.08
五、现金及现金等价物净增加额||-13,748,918.41|13,028,078.67
加：期初现金及现金等价物余额||93,522,045.79|80,493,967.12
六、期末现金及现金等价物余额||79,773,127.38|93,522,045.79
