page|80
项目|附 注|2019 年度|2018 年度
一、营业总收入||449,126,882.11|908,278,511.40
其中：营业收入|57|293,213,790.80|701,307,906.44
利息收入|58|80,176,727.59|116,001,016.32
担保收入|59|75,736,363.72|90,969,588.64
已赚保费|||
手续费及佣金收入|60||
二、营业总成本||363,063,654.12|753,345,842.48
其中：营业成本|57|214,266,258.40|558,089,574.61
利息支出|||
手续费及佣金支出|60|11,319,755.12|3,627,551.83
退保金|||
赔付支出净额|||
提取担保业务准备金|61|40,081,735.95|45,286,714.88
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|6,564,957.75|7,009,799.02
销售费用|63|8,684,057.69|24,443,597.27
管理费用|64|85,736,419.33|93,860,415.50
研发费用|65||
财务费用|66|-3,589,530.12|21,028,189.37
其中：利息费用||8,102,515.95|22,471,767.99
利息收入||12,559,899.86|3,964,772.65
加：其他收益|67|4,093,014.52|
投资收益（损失以“－”号填列）|68|1,247,254.24|-16,880,006.92
其中：对联营企业和合营企业的投资收益||119,349.34|1,539,580.38
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|69|-36,086,854.30|
信用减值损失（损失以“-”号填列）|70|-16,249,702.47|
资产减值损失（损失以“-”号填列）|71|-3,744,160.13|-105,237,807.93
page|81
资产处置收益（损失以“－”号填列）|72|96,481.54|8,902,878.39
三、营业利润（亏损以“－”号填列）||35,419,261.39|41,717,732.46
加：营业外收入|73|48,715,078.84|6,448,068.35
减：营业外支出|74|10,752,095.07|32,219.55
四、利润总额（亏损总额以“－”号填列）||73,382,245.16|48,133,581.26
减：所得税费用|75|27,541,177.38|12,574,628.60
五、净利润（净亏损以“－”号填列）||45,841,067.78|35,558,952.66
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||45,841,067.78|35,558,952.66
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||26,677,581.90|30,752,916.29
2.少数股东损益（净亏损以“-”号填列）||19,163,485.88|4,806,036.37
六、其他综合收益的税后净额|76|-7,496,250.00|1,235,802.96
（一）归属母公司所有者的其他综合收益的税后净额||-7,496,250.00|1,235,802.96
1．不能重分类进损益的其他综合收益||-7,496,250.00|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-7,496,250.00|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||1,235,802.96
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||1,235,802.96
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||38,344,817.78|36,794,755.62
（一）归属于母公司所有者的综合收益总额||19,181,331.90|31,988,719.25
（二）归属于少数股东的综合收益总额||19,163,485.88|4,806,036.37
八、每股收益：|||
（一）基本每股收益(元/股)||0.06|0.07
（二）稀释每股收益(元/股)||0.06|0.07
