page|83
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||336,187,699.14|810,377,600.65
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到担保费取得的现金||68,355,117.71|99,485,225.19
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||83,553,083.81|109,371,132.16
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||46,362,431.78|41,116,357.02
收到其他与经营活动有关的现金|77|554,228,948.50|315,496,449.07
经营活动现金流入小计||1,088,687,280.94|1,375,846,764.09
购买商品、接受劳务支付的现金||250,199,594.74|621,046,608.19
客户贷款及垫款净增加额||-247,280,826.55|72,583,970.06
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||12,230,119.75|4,039,594.71
支付保单红利的现金|||
支付给职工及为职工支付的现金||78,543,009.35|90,027,628.43
支付的各项税费||50,156,845.44|67,730,886.46
支付其他与经营活动有关的现金|77|282,407,500.87|353,619,977.50
经营活动现金流出小计||426,256,243.60|1,209,048,665.35
经营活动产生的现金流量净额||662,431,037.34|166,798,098.74
二、投资活动产生的现金流量：|||
收回投资收到的现金||4,725.61|55,193,590.65
取得投资收益收到的现金||1,261,678.48|1,995,457.78
处置固定资产、无形资产和其他长期资产收回的现金净额||3,295,722.46|26,182,423.97
处置子公司及其他营业单位收到的现金净额|||82,587,940.97
page|84
收到其他与投资活动有关的现金|77|57,350,207.77|304,499,999.23
投资活动现金流入小计||61,912,334.32|470,459,412.60
购建固定资产、无形资产和其他长期资产支付的现金||2,360,416.55|2,584,724.68
投资支付的现金||59,003,773.58|30,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|77||362,171,804.68
投资活动现金流出小计||61,364,190.13|394,756,529.36
投资活动产生的现金流量净额||548,144.19|75,702,883.24
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||399,440,000.00|
其中：子公司吸收少数股东投资收到的现金||399,440,000.00|
取得借款收到的现金||36,200,000.00|205,107,720.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||435,640,000.00|205,107,720.00
偿还债务支付的现金||426,338,134.54|302,736,504.69
分配股利、利润或偿付利息支付的现金||50,637,258.96|22,435,398.46
其中：子公司支付给少数股东的股利、利润||10,503,841.18|375,456.78
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||476,975,393.50|325,171,903.15
筹资活动产生的现金流量净额||-41,335,393.50|-120,064,183.15
四、汇率变动对现金及现金等价物的影响||141,784.75|-1,120,552.02
五、现金及现金等价物净增加额||621,785,572.78|121,316,246.81
加：期初现金及现金等价物余额||576,695,824.01|455,379,577.20
六、期末现金及现金等价物余额||1,198,481,396.79|576,695,824.01
