page|75
项目|附 注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|1,329,537,033.50|782,197,078.77
结算备付金|||
拆出资金|||
交易性金融资产|2|30,356,002.84|
以公允价值计量且其变动计入当期损益的金融资产|||
page|76
衍生金融资产|||
应收票据|3||1,000,000.00
应收账款|4|41,004,154.32|44,823,432.85
应收款项融资|||
预付款项|5|1,923,745.16|2,980,236.17
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|6|143,300,243.74|150,056,327.12
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|7|6,305,741.44|11,220,690.96
持有待售资产|8||
一年内到期的非流动资产|9||
其他流动资产|10|2,632,149.48|69,172,178.54
流动资产合计||1,555,059,070.48|1,061,449,944.41
非流动资产：|||
发放贷款和垫款|11|535,807,481.61|977,787,055.56
债权投资|12|168,069,282.76|
可供出售金融资产|||65,537,857.14
其他债权投资|13||
持有至到期投资|||
长期应收款|14|330,307,472.84|536,559,724.62
长期股权投资|15|16,014,623.73|
其他权益工具投资|16|8,100,000.00|
其他非流动金融资产|17|14,000,000.00|
投资性房地产|18|94,446,278.29|101,803,408.93
固定资产|19|76,226,600.52|80,593,322.43
在建工程|20||
生产性生物资产|21||
油气资产|22||
使用权资产|||
无形资产|23|43,245,897.22|45,381,862.80
开发支出|24||
商誉|25||
长期待摊费用|26|366,742.73|858,422.73
递延所得税资产|27|102,616,150.53|79,908,073.26
其他非流动资产|28||15,000,000.00
非流动资产合计||1,389,200,530.23|1,903,429,727.47
资产总计||2,944,259,600.71|2,964,879,671.88
流动负债：|||
短期借款|29||118,325,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|30||
以公允价值计量且其变动计入当期损益的金融负债|||
page|77
衍生金融负债|31||
应付票据|32||
应付账款|33|6,997,683.10|40,082,945.56
预收款项|34|10,297,938.31|31,197,271.39
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|35|35,874,672.79|39,075,394.27
应交税费|36|39,225,076.87|6,514,192.52
其他应付款|37|55,767,145.09|72,606,905.33
其中：应付利息|||940,133.78
应付股利||9,171,635.98|16,426,320.08
应付手续费及佣金|||
应付分保账款|||
担保业务准备金|38|86,992,067.18|56,825,212.73
持有待售负债|39||
一年内到期的非流动负债|40||28,933,294.06
其他流动负债|41|7,492,634.67|30,287,756.29
流动负债合计||242,647,218.01|423,847,972.15
非流动负债：|||
保险合同准备金|||
长期借款|42||242,879,840.48
应付债券|43||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|44||
长期应付职工薪酬|45||
预计负债|46||
递延收益|47||
递延所得税负债|||
其他非流动负债|48||2,561,088.33
非流动负债合计|||245,440,928.81
负债合计||242,647,218.01|669,288,900.96
所有者权益（或股东权益）：|||
实收资本（或股本）|49|454,322,747.00|454,322,747.00
其他权益工具|50||
其中：优先股|||
永续债|||
资本公积|51|559,132,621.78|524,496,599.75
减：库存股|52||
其他综合收益|53|-7,496,250.00|
专项储备|54||
盈余公积|55|114,004,783.21|114,004,783.21
一般风险准备|||
未分配利润|56|993,046,257.13|993,628,040.05
归属于母公司所有者权益（或股东权益）合||2,113,010,159.12|2,086,452,170.01
page|78
计|||
少数股东权益||588,602,223.58|209,138,600.91
所有者权益（或股东权益）合计||2,701,612,382.70|2,295,590,770.92
负债和所有者权益（或股东权益）总计||2,944,259,600.71|2,964,879,671.88
