page|104
项目|附注|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||10,492,053,578.57|8,707,876,863.09
客户存款和同业存放款项净增加额||5,384,851,871.13|1,500,769,643.64
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||3,299,154,507.54|3,209,080,446.97
拆入资金净增加额|||600,000,000.00
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||991,386.64|6,301,283.18
收到其他与经营活动有关的现金|五、（六十九）|11,121,221,816.72|6,149,140,809.75
经营活动现金流入小计||30,298,273,160.60|20,173,169,046.63
购买商品、接受劳务支付的现金||9,015,878,978.77|8,191,525,615.88
为交易目的而持有的金融资产净增加额||3,943,553,694.57|2,615,078,055.79
客户贷款及垫款净增加额||2,359,220,460.35|4,274,712,272.13
存放中央银行和同业款项净增加额||433,026,540.25|-599,408,810.33
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||371,085,656.32|315,099,844.93
支付保单红利的现金|||
支付给职工以及为职工支付的现金||810,050,928.31|719,456,720.21
支付的各项税费||1,252,293,388.04|1,102,931,048.85
支付其他与经营活动有关的现金|五、（六十九）|11,046,012,690.79|5,797,816,838.64
经营活动现金流出小计||29,231,122,337.40|22,417,211,586.10
经营活动产生的现金流量净额||1,067,150,823.20|-2,244,042,539.47
二、投资活动产生的现金流量|||
收回投资收到的现金||5,562,742,328.28|2,948,808,916.42
取得投资收益收到的现金||692,184,494.04|915,078,212.07
处置固定资产、无形资产和其他长期资产收回的现金净额||26,884.00|38,502,321.98
处置子公司及其他营业单位收到的现金净额|||3,467,423,635.30
收到其他与投资活动有关的现金|五、（六十九）|34,554,425.43|37,120,181.06
投资活动现金流入小计||6,289,508,131.75|7,406,933,266.83
购建固定资产、无形资产和其他长期资产支付的现金||2,391,268,697.25|2,515,868,575.48
投资支付的现金||6,511,438,293.51|5,614,172,817.68
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|五、（六十九）|122,862,009.41|5,554,630.58
投资活动现金流出小计||9,025,569,000.17|8,135,596,023.74
投资活动产生的现金流量净额||-2,736,060,868.42|-728,662,756.91
三、筹资活动产生的现金流量|||
吸收投资收到的现金||158,617,000.00|1,118,205,250.41
其中：子公司吸收少数股东投资收到的现金||158,617,000.00|1,118,205,250.41
取得借款收到的现金||8,612,950,413.51|4,341,033,113.02
page|105
项目|附注|本期金额|上期金额
收到其他与筹资活动有关的现金|五、（六十九）|2,494,669,845.08|1,236,970,891.25
筹资活动现金流入小计||11,266,237,258.59|6,696,209,254.68
偿还债务支付的现金||3,599,031,505.47|5,378,353,305.32
分配股利、利润或偿付利息支付的现金||1,637,642,162.74|984,794,960.99
其中：子公司支付给少数股东的股利、利润||125,496,480.03|544,401,585.07
支付其他与筹资活动有关的现金|五、（六十九）|4,460,114,820.67|1,404,014,066.11
筹资活动现金流出小计||9,696,788,488.88|7,767,162,332.42
筹资活动产生的现金流量净额||1,569,448,769.71|-1,070,953,077.74
四、汇率变动对现金及现金等价物的影响||-3,352,358.69|832,337.91
五、现金及现金等价物净增加额||-102,813,634.20|-4,042,826,036.21
加：期初现金及现金等价物余额||10,915,416,644.32|14,958,242,680.53
六、期末现金及现金等价物余额||10,812,603,010.12|10,915,416,644.32
