page|100
项目|附注|本期金额|上期金额
一、营业总收入||13,362,749,019.06|11,500,508,445.74
其中：营业收入|五、（五十一）|10,300,120,542.25|8,492,676,403.19
利息收入|五、（五十二）|1,938,803,306.43|1,809,837,291.28
已赚保费|||
手续费及佣金收入|五、（五十三）|1,123,825,170.38|1,197,994,751.27
二、营业总成本||10,642,405,378.39|8,796,609,330.04
其中：营业成本|五、（五十一）|9,064,190,018.91|7,491,075,400.36
利息支出|五、（五十二）|349,017,520.97|323,973,551.75
手续费及佣金支出|五、（五十三）|7,497,162.96|7,761,921.62
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|五、（五十四）|81,621,494.57|83,900,970.68
销售费用|五、（五十五）|90,572,290.57|94,864,122.05
管理费用|五、（五十六）|690,606,594.45|507,770,292.98
研发费用|五、（五十七）|3,165,890.94|4,450,332.56
财务费用|五、（五十八）|355,734,405.02|282,812,738.04
其中：利息费用|五、（五十八）|354,986,252.24|293,861,051.69
利息收入|五、（五十八）|12,505,905.18|21,558,215.24
加：其他收益|五、（五十九）|14,797,778.03|7,533,763.77
投资收益（损失以“-”号填列）|五、（六十）|672,547,195.26|898,522,622.52
其中：对联营企业和合营企业的投资收益|五、（六十）|19,154,974.55|30,390,728.28
以摊余成本计量的金融资产终止确认收益||-10,946,475.37|-9,297,745.97
汇兑收益（损失以“-”号填列）||-3,540,688.25|832,337.91
净敞口套期收益（损失以“ -”号填列）|||
公允价值变动收益（损失以“ -”号填列）|五、（六十一）|433,645,861.94|-110,297,818.20
信用减值损失（损失以“-”号填列）|五、（六十二）|-298,074,657.12|-405,377,630.50
资产减值损失（损失以“-”号填列）|五、（六十三）|-14,576,267.23|-1,494,294.31
资产处置收益（损失以“-”号填列）|五、（六十四）|-18,115.84|33,124,322.01
三、营业利润（亏损以“ -”号填列）||3,525,124,747.46|3,126,742,418.90
加：营业外收入|五、（六十五）|59,042,613.27|46,542,022.47
减：营业外支出|五、（六十六）|14,238,338.64|27,767,466.98
四、利润总额（亏损总额以“-”号填列）||3,569,929,022.09|3,145,516,974.39
减：所得税费用|五、（六十七）|841,362,868.63|659,487,801.88
五、净利润（净亏损以“ -”号填列）||2,728,566,153.46|2,486,029,172.51
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“ -”号填列）||2,728,566,153.46|2,486,029,172.51
2．终止经营净利润（净亏损以“ -”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“ -”号填列）||1,270,877,595.66|1,333,750,925.45
2．少数股东损益（净亏损以“ -”号填列）||1,457,688,557.80|1,152,278,247.06
六、其他综合收益的税后净额||-25,307,209.20|-6,147,006.27
归属于母公司所有者的其他综合收益的税后净额||51,993,657.79|-18,312,999.98
（一）不能重分类进损益的其他综合收益||-9,250,309.53|-27,729,723.83
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||-9,250,309.53|-27,729,723.83
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||61,243,967.32|9,416,723.85
1．权益法下可转损益的其他综合收益||17,730,016.28|9,416,723.85
page|101
项目|附注|本期金额|上期金额
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额|||
7．其他||43,513,951.04|
归属于少数股东的其他综合收益的税后净额||-77,300,866.99|12,165,993.71
七、综合收益总额||2,703,258,944.26|2,479,882,166.24
归属于母公司所有者的综合收益总额||1,322,871,253.45|1,315,437,925.47
归属于少数股东的综合收益总额||1,380,387,690.81|1,164,444,240.77
八、每股收益：|||
（一）基本每股收益（元/股）|五、（六十八）|0.24|0.25
（二）稀释每股收益（元/股）||0.24|0.25
