page|123
2020 年度|||
|(除另有标明外，所有金额均以人民币百万元列示)||
本集团|附注|2020 年度|2019 年度
一、营业收入||246,200|232,472
利息收入|四、36|369,101|367,453
利息支出|四、36|(215,765)|(223,370)
利息净收入|四、36|153,336|144,083
手续费及佣金收入|四、37|49,298|47,669
手续费及佣金支出|四、37|(4,212)|(4,044)
手续费及佣金净收入|四、37|45,086|43,625
投资收益/(损失)|四、38|13,255|12,807
其中：对联营及合营企业的投|||
资收益||222|414
以摊余成本计量的金融|||
资产终止确认产生的|||
净收益/(损失)||27|(281)
公允价值变动收益/(损失)|四、39|1,068|1,258
汇兑及汇率产品净收益/(损失)|四、40|1,100|2,629
保险业务收入|四、41|15,170|11,687
其他业务收入|四、42|16,460|15,523
资产处置收益||166|287
其他收益||559|573
二、营业支出||(159,987)|(144,324)
税金及附加|四、43|(2,823)|(2,697)
业务及管理费|四、44|(66,004)|(66,560)
信用减值损失|四、45|(62,059)|(51,954)
其他资产减值损失|四、46|(484)|(270)
保险业务支出|四、47|(15,729)|(11,432)
其他业务成本|四、48|(12,888)|(11,411)
三、营业利润||86,213|88,148
加：营业外收入|四、49|524|385
减：营业外支出|四、50|(312)|(333)
四、利润总额||86,425|88,200
减：所得税费用|四、51|(6,855)|(10,138)
