page|78
项目|附注五（三）|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,995,059,812.20|3,736,885,526.55
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|1|1,272,527,569.29|413,405,346.80
经营活动现金流入小计||6,267,587,381.49|4,150,290,873.35
购买商品、接受劳务支付的现金||4,840,607,672.93|7,027,704,678.30
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||287,332,561.19|289,383,063.11
支付的各项税费||1,681,078,326.40|1,364,977,314.46
支付其他与经营活动有关的现金|2|311,741,216.43|278,202,737.05
经营活动现金流出小计||7,120,759,776.95|8,960,267,792.92
经营活动产生的现金流量净额||-853,172,395.46|-4,809,976,919.57
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,823,190,964.29|1,632,212,465.75
page|79
取得投资收益收到的现金||154,393,311.86|13,509,886.65
处置固定资产、无形资产和其他长期资产收回的现金净额||145,042,945.85|3,931,933.55
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|3|95,630,110.79|339,922,975.41
投资活动现金流入小计||2,218,257,332.79|1,989,577,261.36
购建固定资产、无形资产和其他长期资产支付的现金||28,623,417.09|16,220,440.39
投资支付的现金||4,376,423,152.12|3,147,204,230.49
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|4|108,000,000.00|
投资活动现金流出小计||4,513,046,569.21|3,163,424,670.88
投资活动产生的现金流量净额||-2,294,789,236.42|-1,173,847,409.52
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||261,700,000.00|5,125,405,602.40
其中：子公司吸收少数股东投资收到的现金||261,700,000.00|361,760,000.00
取得借款收到的现金||13,241,117,660.94|10,071,703,891.59
收到其他与筹资活动有关的现金|5|500,000,000.00|
筹资活动现金流入小计||14,002,817,660.94|15,197,109,493.99
偿还债务支付的现金||12,800,023,397.48|5,789,101,844.69
分配股利、利润或偿付利息支付的现金||1,125,378,884.87|634,127,252.55
其中：子公司支付给少数股东的股利、利润||4,103,587.76|5,353,895.35
支付其他与筹资活动有关的现金|6|11,224,168.76|45,449,068.68
筹资活动现金流出小计||13,936,626,451.11|6,468,678,165.92
筹资活动产生的现金流量净额||66,191,209.83|8,728,431,328.07
四、汇率变动对现金及现金等价物的影响||23,053.52|52,778.64
五、现金及现金等价物净增加额|7|-3,081,747,368.53|2,744,659,777.62
加：期初现金及现金等价物余额|7|6,015,202,180.72|3,270,542,403.10
六、期末现金及现金等价物余额|7|2,933,454,812.19|6,015,202,180.72
