page|75
项目|附注五（二）|2020 年度|2019 年度
一、营业总收入||3,929,556,277.52|3,949,773,008.68
其中：营业收入|1|3,929,556,277.52|3,949,773,008.68
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,663,354,698.08|2,680,056,059.30
其中：营业成本|1|1,688,753,895.18|1,176,183,820.22
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|2|215,849,350.05|775,639,159.65
销售费用|3|76,054,930.38|71,767,025.40
管理费用|4|341,111,421.11|319,923,708.63
研发费用|||
财务费用|6|341,585,101.36|336,542,345.40
其中：利息费用|6|444,753,576.08|382,698,406.41
利息收入|6|103,416,617.48|46,704,524.04
加：其他收益|7|232,623,465.05|82,076,926.21
投资收益（损失以“－”号填列）|8|242,295,194.65|365,952,422.68
其中：对联营企业和合营企业的投资收益|8|39,272,308.80|46,467,867.22
以摊余成本计量的金融资产终止确认收益|||
page|76
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|10|251,206,575.45|142,709,554.20
信用减值损失（损失以“-”号填列）|11|90,899,795.55|-78,212,909.41
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|13|88,397,166.55|3,716,037.03
三、营业利润（亏损以“－”号填列）||2,171,623,776.69|1,785,958,980.09
加：营业外收入|14|74,642,957.06|61,993,422.13
减：营业外支出|15|47,753,407.17|43,109,448.60
四、利润总额（亏损总额以“－”号填列）||2,198,513,326.58|1,804,842,953.62
减：所得税费用|16|567,709,940.01|323,590,131.14
五、净利润（净亏损以“－”号填列）||1,630,803,386.57|1,481,252,822.48
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,630,803,386.57|1,481,252,822.48
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,414,369,164.67|1,346,796,763.70
2.少数股东损益（净亏损以“-”号填列）||216,434,221.90|134,456,058.78
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,630,803,386.57|1,481,252,822.48
（一）归属于母公司所有者的综合收益总额||1,414,369,164.67|1,346,796,763.70
（二）归属于少数股东的综合收益总额||216,434,221.90|134,456,058.78
八、每股收益：|||
（一）基本每股收益(元/股)||0.67|0.71
（二）稀释每股收益(元/股)||0.67|0.71
